Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,93.29
"Finance, insurance, real estate, rental, and leasing",51.25
"Educational services, health care, and social assistance",32.5
Government and government enterprises,30.78
Professional and business services,30.4
Retail trade,19.85
Wholesale trade,18.31
"Arts, entertainment, recreation, accommodation, and food services",11.65
Construction,11.37
Transportation and warehousing,11.14
Information,7.25
Other services (except government and government enterprises),7.02
Utilities,6.11
"Agriculture, forestry, fishing, and hunting",4.91
"Mining, quarrying, and oil and gas extraction",1.39
