Month,Number of new cases
"Nov 24, 2020",9
"Nov 23, 2020",16
"Nov 22, 2020",3
"Nov 21, 2020",16
"Nov 20, 2020",18
"Nov 19, 2020",21
"Nov 18, 2020",5
"Nov 17, 2020",15
"Nov 16, 2020",9
"Nov 15, 2020",18
"Nov 14, 2020",19
"Nov 13, 2020",18
"Nov 12, 2020",10
"Nov 11, 2020",21
"Nov 10, 2020",29
"Nov 9, 2020",12
"Nov 8, 2020",23
"Nov 7, 2020",21
"Nov 6, 2020",26
"Nov 5, 2020",25
"Nov 4, 2020",25
"Nov 3, 2020",37
"Nov 2, 2020",28
"Nov 1, 2020",32
"Oct 31, 2020",30
"Oct 30, 2020",60
"Oct 29, 2020",80
"Oct 28, 2020",42
"Oct 27, 2020",107
"Oct 26, 2020",68
"Oct 25, 2020",64
"Oct 24, 2020",60
"Oct 23, 2020",77
"Oct 22, 2020",36
"Oct 21, 2020",49
"Oct 20, 2020",45
"Oct 19, 2020",70
"Oct 18, 2020",62
"Oct 17, 2020",56
"Oct 16, 2020",72
"Oct 15, 2020",67
"Oct 14, 2020",98
"Oct 13, 2020",90
"Oct 12, 2020",85
"Oct 11, 2020",53
"Oct 10, 2020",59
"Oct 9, 2020",96
"Oct 8, 2020",105
"Oct 7, 2020",101
"Oct 6, 2020",87
"Oct 5, 2020",100
"Oct 4, 2020",64
"Oct 3, 2020",49
"Oct 2, 2020",62
"Oct 1, 2020",41
"Sep 30, 2020",40
"Sep 29, 2020",33
"Sep 28, 2020",32
"Sep 27, 2020",42
"Sep 26, 2020",22
"Sep 25, 2020",40
"Sep 24, 2020",46
"Sep 23, 2020",36
"Sep 22, 2020",58
"Sep 21, 2020",37
"Sep 20, 2020",32
"Sep 19, 2020",39
"Sep 18, 2020",75
"Sep 17, 2020",21
"Sep 16, 2020",22
"Sep 15, 2020",13
"Sep 14, 2020",7
"Sep 13, 2020",3
"Sep 12, 2020",2
"Sep 11, 2020",1
"Sep 10, 2020",1
"Sep 9, 2020",5
"Sep 8, 2020",5
"Sep 7, 2020",7
"Sep 6, 2020",2
"Sep 5, 2020",3
"Sep 4, 2020",1
"Sep 3, 2020",6
"Sep 2, 2020",4
"Sep 1, 2020",10
"Aug 31, 2020",5
"Aug 30, 2020",1
"Aug 29, 2020",5
"Aug 28, 2020",8
"Aug 27, 2020",3
"Aug 26, 2020",7
"Aug 25, 2020",7
"Aug 24, 2020",3
"Aug 23, 2020",7
"Aug 22, 2020",5
"Aug 21, 2020",11
"Aug 20, 2020",11
"Aug 19, 2020",3
"Aug 18, 2020",5
"Aug 17, 2020",5
"Aug 16, 2020",9
"Aug 15, 2020",10
"Aug 14, 2020",7
"Aug 13, 2020",8
"Aug 12, 2020",10
"Aug 11, 2020",4
"Aug 10, 2020",5
"Aug 9, 2020",4
"Aug 8, 2020",4
"Aug 7, 2020",5
"Aug 6, 2020",18
"Aug 5, 2020",4
"Aug 4, 2020",9
"Aug 3, 2020",3
"Aug 2, 2020",8
"Aug 1, 2020",13
"Jul 31, 2020",8
"Jul 30, 2020",11
"Jul 29, 2020",12
"Jul 28, 2020",4
"Jul 27, 2020",4
"Jul 26, 2020",6
"Jul 25, 2020",4
"Jul 24, 2020",1
"Jul 23, 2020",2
"Jul 22, 2020",1
"Jul 21, 2020",0
"Jul 20, 2020",1
"Jul 19, 2020",1
"Jul 18, 2020",2
"Jul 17, 2020",0
"Jul 16, 2020",1
"Jul 15, 2020",0
"Jul 14, 2020",2
"Jul 13, 2020",0
"Jul 12, 2020",0
"Jul 11, 2020",0
"Jul 10, 2020",0
"Jul 09, 2020",0
"Jul 08, 2020",0
"Jul 07, 2020",1
"Jul 06, 2020",2
"Jul 05, 2020",0
"Jul 04, 2020",0
"Jul 03, 2020",0
"Jul 02, 2020",5
"Jul 01, 2020",1
"Jun 30, 2020",2
"Jun 29, 2020",1
"Jun 28, 2020",1
"Jun 27, 2020",0
"Jun 26, 2020",2
"Jun 25, 2020",1
"Jun 24, 2020",2
"Jun 23, 2020",0
"Jun 22, 2020",0
"Jun 21, 2020",0
"Jun 20, 2020",0
"Jun 19, 2020",1
"Jun 18, 2020",2
"Jun 17, 2020",0
"Jun 16, 2020",1
"Jun 15, 2020",1
"Jun 14, 2020",0
"Jun 13, 2020",2
"Jun 12, 2020",1
"Jun 11, 2020",0
"Jun 10, 2020",0
"Jun 09, 2020",0
"Jun 08, 2020",0
"Jun 07, 2020",0
"Jun 06, 2020",0
"Jun 05, 2020",1
"Jun 04, 2020",0
"Jun 03, 2020",0
"Jun 02, 2020",0
"Jun 01, 2020",0
"May 31, 2020",0
"May 30, 2020",0
"May 29, 2020",1
"May 28, 2020",0
"May 27, 2020",0
"May 26, 2020",1
"May 25, 2020",0
"May 24, 2020",0
"May 23, 2020",0
"May 22, 2020",1
"May 21, 2020",0
"May 20, 2020",0
"May 19, 2020",1
"May 18, 2020",0
"May 17, 2020",0
"May 16, 2020",0
"May 15, 2020",0
"May 14, 2020",0
"May 13, 2020",0
"May 12, 2020",1
"May 11, 2020",-
"May 10, 2020",-
"May 09, 2020",-
"May 08, 2020",-
"May 07, 2020",-
"May 06, 2020",2
"May 05, 2020",-
"May 04, 2020",-
"May 03, 2020",-
"May 02, 2020",1
"May 01, 2020",-
"Apr 30, 2020",1
"Apr 29, 2020",-
"Apr 28, 2020",2
"Apr 27, 2020",3
"Apr 26, 2020",-
"Apr 25, 2020",2
"Apr 24, 2020",1
"Apr 23, 2020",-
"Apr 22, 2020",4
"Apr 21, 2020",7
"Apr 20, 2020",5
"Apr 19, 2020",2
"Apr 18, 2020",11
"Apr 17, 2020",6
"Apr 16, 2020",15
"Apr 15, 2020",12
