Response,Share of respondents
Restaurant/bar/café,42.55%
"Retailer (supermarket, mall, electronics store, etc.)",45.48%
"Recreation (movie theater, bowling alley, sporting event, etc.)",24.59%
"Financial (bank, credit card statement, ATM)",35.27%
"Exercise (gym, pool, hiking trail, track, etc.)",19.4%
Business office/Place of work,24.87%
"Medical (doctor’s office, prescription drugs, hospital)",33.55%
"Travel (airport, taxi, ticket, etc.)",20.56%
"On a consumer product (on packaging, wrappers, physical hardware, as part of install, etc.)",33.64%
Other (please specify),5.61%
