Year,GDP per capita
2025*,60890.48
2024*,58849.03
2023*,56966.92
2022*,54875.57
2021*,51967.33
2020*,45466.12
2019,46472.62
2018,47832.06
2017,44537.1
2016,42124.32
2015,41107.22
2014,48035.8
2013,46544.95
2012,44089.28
2011,46852.93
2010,42641.42
2009,42576.21
2008,46681.07
2007,42531.25
2006,37018.78
2005,35236.68
2004,34646.67
2003,30779.57
2002,25565.13
2001,23945.53
2000,24003.79
1999,27053.85
1998,27580.22
1997,27253.13
1996,30743.14
1995,31901.25
1994,27244.57
1993,25568.59
1992,26432.96
1991,23364.33
1990,20172.52
1989,16170.71
1988,16452.17
1987,15353.22
1986,12340.14
1985,8646.02
