Country,Female to male ratio
United States,0.74
New Zealand,0.67
France,0.63
Germany,0.61
Russia,0.59
Australia,0.58
Poland,0.57
Brazil,0.56
Canada,0.56
United Kingdom,0.53
Paraguay,0.52
Italy,0.5
Sweden,0.48
Spain,0.48
Ireland,0.47
Norway,0.46
Singapore,0.46
Portugal,0.45
Mexico,0.44
Switzerland,0.43
South Arfica,0.43
Finland,0.42
Greece,0.4
Austria,0.39
Netherlands,0.38
Chile,0.32
Denmark,0.31
Thailand,0.31
Argentina,0.3
Indonesia,0.28
Peru,0.24
China,0.2
Iran,0.15
Egypt,0.12
South Korea,0.11
United Arab Emirates,0.11
Turkey,0.11
Japan,0.1
Saudi Arabia,0.08
