Year,GDP in billion international dollars
2021*,3046.13
2020*,2860.02
2019*,3061.82
2018,2970.43
2017,2850.61
2016,2736.08
2015,2678.69
2014,2621.19
2013,2549.89
2012,2491.56
2011,2437.04
2010,2335.95
2009,2264.9
2008,2314.25
2007,2264.33
2006,2152.89
2005,2039.69
2004,1945.72
2003,1842.57
2002,1794.21
2001,1746.43
2000,1675.71
1999,1577.19
1998,1503.3
1997,1435.07
1996,1378.54
1995,1334.89
1994,1280.5
1993,1224.84
1992,1204.06
1991,1158.7
1990,1109.17
1989,1038.78
1988,957.98
1987,883.44
1986,840.58
1985,805.18
1984,768.03
