Month,Number of samples tested in thousands
Dec 17,158918.95
Dec 10,151632.22
Dec 3,144727.75
Nov 26,137062.75
Nov 19,129591.79
Nov 11,121962.51
Nov 5,115429.1
Oct 29,107728.09
Oct 22,100113.09
Oct 15,92254.93
Oct 8,84634.68
Oct 2,76717.73
Sept 24,68928.44
Sept 17,61572.34
Sept 10,54097.98
Sept 4,46679.15
Aug 27,39477.85
Aug 18,31742.78
Aug 10,25281.85
Aug 3,20864.75
July 27,17334.88
July 20,14381.3
July 8,10740.83
July 1,9056.17
June 24,7560.78
June 17,6249.67
June 10,5213.14
Jun 3,4103.23
May 25,3033.59
May 22,2719.43
May 21,2615.92
May 20,2512.39
May 19,2404.27
May 18,2302.79
May 17,2227.64
May 16,2134.28
May 15,2039.95
May 14,1947.04
May 13,1854.25
May 12,1759.58
May 11,1673.69
May 10,1609.04
May 9,1523.21
May 8,1437.79
May 7,1357.41
May 6,1276.78
May 5,1191.95
May 4,1107.23
May 3,1046.45
May 2,976.36
May 1,902.65
Apr 30,830.2
Apr 29,770.76
Apr 28,716.73
Apr 19,383.99
Apr 18,354.97
Apr 17,318.45
Apr 16,286.71
Apr 15,258.73
Apr 14,229.43
Apr 13,202.55
Apr 12,181.03
Apr 11,164.77
Apr 10,147.03
Apr 9,130.79
