city,Population in millions
Istanbul (Turkey),15.19
Moscow (Russia),12.54
Paris (France),11.02
London (UK),9.3
Madrid (Spain),6.62
Barcelona (Spain),5.59
Saint Petersburg (Russia),5.47
Rome (Italy),4.26
Berlin (Germany),3.56
Athens (Greece),3.15
Milan (Italy),3.14
Kiev (Ukraine),2.99
Lisbon (Portugal),2.96
Manchester (UK),2.73
Birmingham (UK),2.61
Naples (Italy),2.19
Brussels (Belgium),2.08
Minsk (Belarus),2.03
Vienna (Austria),1.93
Leeds (UK),1.89
Bucharest (Romania),1.8
Turin (Italy),1.79
Hamburg (Germany),1.79
Warsaw (Poland),1.78
Budapest (Hungary),1.77
Lyon (France),1.72
Glasgow (UK),1.67
Stockholm (Sweden),1.63
Marseille (France),1.61
Munich (Germany),1.54
Kharkiv (Ukraine),1.43
Belgrade (Serbia),1.4
Zurich (Switzerland),1.4
Copenhagen (Denmark),1.35
Porto (Portugal),1.31
Prague (Czechia),1.31
Helsinki (Finland),1.31
Sofia (Bulgaria),1.28
Kazan (Russia),1.27
Nizhniy Novgorod (Russia),1.26
Dublin (Ireland),1.23
Samara (Russia),1.16
Amsterdam (Netherlands),1.15
Rostov-on-Don (Russia),1.14
Cologne (Germany),1.12
Voronezh (Russia),1.07
Lille (France),1.06
Antwerp (Belgium),1.04
Oslo (Norway),1.04
Toulouse (France),1.02
