Response,Share of respondents
Don't want to share anything on Facebook,62.39%
Would rather share or communicate in other ways,58.97%
Don't trust Facebook,57.26%
Don't want to connect with anyone on Facebook,50.43%
Facebook invades my privacy,49.15%
Facebook makes me give up too much information,31.2%
Don't like reading updates from others,29.91%
Don't like Facebook's user experience,29.49%
Don't like ads on Facebook,18.8%
Other,13.25%
Facebook site or app is too slow,5.13%
Internet access isn't good enough,2.56%
