Year,Gross domestic product in billion international dollars
2021*,961.36
2020*,860.92
2019*,838.55
2018,763.99
2017,690.49
2016,629.95
2015,581.6
2014,538.75
2013,497.55
2012,461.12
2011,425.79
2010,391.65
2009,365.12
2008,344.07
2007,319.86
2006,292.43
2005,265.65
2004,242.35
2003,222.41
2002,206.43
2001,193.83
2000,180.92
1999,167.58
1998,156.7
1997,147.52
1996,137.71
1995,128.78
1994,120.39
1993,112.78
1992,105.61
1991,98.52
1990,91.46
1989,84.28
1988,77.76
1987,73.36
1986,69.55
1985,65.56
1984,61.26
