Country,Number of cases
Total,2352621
South Africa,903679
Morocco,413393
Egypt,113898
Ethiopia,112367
Tunisia,107049
Kenya,79073
Nigeria,75044
Libya,74381
Algeria,67808
Ghana,53928
Cameroon,24892
Ivory Coast,21998
Namibia,21055
Zambia,19083
Senegal,17515
Madagascar,17298
Mozambique,16765
Democratic Republic of the Congo,14716
Sudan,13524
Guinea,13172
Mauritania,12136
Botswana,12136
Uganda,12037
Cabo Verde,11580
Zimbabwe,11574
Angola,11223
Gabon,9388
Réunion,8706
Eswatini,7113
Rwanda,6752
Congo,5846
Djibouti,5741
Malawi,5715
Burkina Faso,5259
Equatorial Guinea,5136
Mali,4913
Gambia,3669
Somalia,3612
Togo,3474
South Sudan,3131
Benin,3061
Mayotte,2964
Guinea-Bissau,2398
Niger,1986
Central African Republic,1924
Sierra Leone,1910
Chad,1720
Lesotho,1496
Liberia,1406
Sao Tome and Principe,981
Comros,732
Burundi,687
Eritrea,676
Mauritius,496
Seychelles,214
Tanzania,183
Western Sahara,8
