Month,Daily new cases
"Jan 5, 2021",15378
"Jan 4, 2021",10800
"Jan 3, 2021",14245
"Jan 2, 2021",11831
"Jan 1, 2021",22211
"Dec 31, 2020",23477
"Dec 30, 2020",16202
"Dec 29, 2020",11224
"Dec 28, 2020",8585
"Dec 27, 2020",8913
"Dec 26, 2020",10431
"Dec 25, 2020",19037
"Dec 24, 2020",18040
"Dec 23, 2020",14522
"Dec 22, 2020",13318
"Dec 21, 2020",10872
"Dec 20, 2020",15102
"Dec 19, 2020",16305
"Dec 18, 2020",15401
"Dec 17, 2020",18233
"Dec 16, 2020",17568
"Dec 15, 2020",14839
"Dec 14, 2020",12025
"Dec 13, 2020",17937
"Dec 12, 2020",19902
"Dec 11, 2020",18726
"Dec 10, 2020",16998
"Dec 9, 2020",12755
"Dec 8, 2020",14837
"Dec 7, 2020",13679
"Dec 6, 2020",18887
"Dec 5, 2020",21052
"Dec 4, 2020",24110
"Dec 3, 2020",23219
"Dec 2, 2020",20709
"Dec 1, 2020",19347
"Nov 30, 2020",16376
"Nov 29, 2020",20646
"Nov 28, 2020",26315
"Nov 27, 2020",28342
"Nov 26, 2020",29001
"Nov 25, 2020",25852
"Nov 24, 2020",23227
"Nov 23, 2020",22927
"Nov 22, 2020",28337
"Nov 21, 2020",34764
"Nov 20, 2020",37239
"Nov 19, 2020",36176
"Nov 18, 2020",34280
"Nov 17, 2020",32191
"Nov 16, 2020",27352
"Nov 15, 2020",33977
"Nov 14, 2020",37249
"Nov 13, 2020",40902
"Nov 12, 2020",37977
"Nov 11, 2020",32961
"Nov 10, 2020",35090
"Nov 9, 2020",25269
"Nov 8, 2020",32614
"Nov 7, 2020",39809
"Nov 6, 2020",37802
"Nov 5, 2020",34502
"Nov 4, 2020",30548
"Nov 3, 2020",28241
"Nov 2, 2020",22253
"Nov 1, 2020",29907
"Oct 31, 2020",31758
"Oct 30, 2020",31084
"Oct 29, 2020",26831
"Oct 28, 2020",24991
"Oct 27, 2020",21994
"Oct 26, 2020",17012
"Oct 25, 2020",21273
"Oct 24, 2020",19640
"Oct 23, 2020",19143
"Oct 22, 2020",16078
"Oct 21, 2020",15199
"Oct 20, 2020",10871
"Oct 19, 2020",9337
"Oct 18, 2020",11705
"Oct 17, 2020",10925
"Oct 16, 2020",10009
"Oct 15, 2020",8803
