Year,GDP per capita in U.S. dollars
2025*,2158.36
2024*,2062.4
2023*,1926.58
2022*,1724.42
2021*,1629.43
2020*,1455.47
2019*,1445.89
2018,1466.1
2017,1361.22
2016,1269.55
2015,1219.37
2014,1361.35
2013,1343.18
2012,1301.51
2011,1345.41
2010,1257.74
2009,1297.94
2008,1395.41
2007,1204.91
2006,1026.1
2005,981.31
2004,928.96
2003,815.15
2002,651.45
2001,609.72
2000,603.47
1999,676.01
1998,679.9
1997,643.17
1996,714.64
1995,706.21
1994,576.64
1993,869.09
1992,946.74
1991,910.03
1990,952.42
1989,842.54
1988,880.71
1987,917.91
1986,786.53
1985,573.04
