Quarter,Unemployment rate
Q2 2020,5.7%
Q1 2020,7.4%
Q4 2019,7.7%
Q3 2019,8.7%
Q2 2019,7.4%
Q1 2019,7.5%
Q4 2018,8%
Q3 2018,7.6%
Q2 2018,8.6%
Q1 2018,10%
Q4 2017,11.2%
Q3 2017,11.6%
Q2 2017,14.4%
Q1 2017,15.5%
Q4 2016,16.8%
Q3 2016,17.3%
Q2 2016,15.4%
Q1 2016,15.5%
Q4 2015,18.2%
Q3 2015,19.4%
Q2 2015,21.4%
Q1 2015,21.1%
Q4 2014,18.7%
Q3 2014,19.5%
Q2 2014,21%
Q1 2014,21.3%
Q4 2013,21.4%
Q3 2013,19.5%
Q2 2013,18.2%
Q1 2013,20%
Q4 2012,19.2%
Q3 2012,20%
Q2 2012,20.6%
Q1 2012,18.5%
Q4 2011,18.8%
Q3 2011,19%
Q2 2011,17.8%
Q1 2011,18.3%
Q4 2010,18.6%
Q3 2010,16.6%
Q2 2010,18.4%
Q1 2010,16.7%
Q4 2009,16.8%
Q3 2009,16.4%
Q2 2009,13.8%
Q1 2009,13.8%
Q4 2008,11.1%
Q3 2008,10.2%
Q2 2008,10.3%
Q1 2008,10.3%
Q4 2007,10.1%
Q3 2007,9.5%
Q2 2007,10.4%
Q1 2007,10.8%
Q4 2006,11.5%
Q3 2006,12.1%
Q2 2006,11%
Q1 2006,10.2%
Q4 2005,9.6%
Q3 2005,10%
Q2 2005,11.4%
Q1 2005,12.3%
Q4 2004,12.6%
