Year,GDP per capita in U.S. dollars
2025*,3253.7
2024*,3073.89
2023*,2911.11
2022*,2756.12
2021*,2614.12
2020*,2567.01
2019*,2660.75
2018,2567.89
2017,2452.97
2016,2323.36
2015,2130.63
2014,1997.99
2013,1899.98
2012,1640.94
2011,1463.47
2010,1242.96
2009,1080.47
2008,1013.82
2007,822.36
2006,686.65
2005,542.38
2004,479.63
2003,416.07
2002,345.39
2001,334.64
2000,333.16
1999,278.72
1998,267.28
1997,716.32
1996,775.94
1995,763.13
1994,673.42
1993,595.31
1992,543.56
1991,487.96
1990,426.32
1989,370.82
1988,308.82
1987,487.68
1986,712.07
1985,1047.04
