Year,Gross domestic product in billion international dollars
2021*,568.02
2020*,529.78
2019,564.77
2018,548.34
2017,523.64
2016,501.86
2015,485.01
2014,459.69
2013,439.27
2012,427.05
2011,421.68
2010,400.81
2009,373.11
2008,386.66
2007,380.21
2006,357.98
2005,332.18
2004,313.08
2003,292.23
2002,280.6
2001,270.29
2000,260.67
1999,243.12
1998,229.75
1997,217.91
1996,207.78
1995,200.8
1994,189.11
1993,178.08
1992,177.06
1991,174.67
1990,170.85
1989,163.55
1988,153.24
1987,144.47
1986,136.52
1985,129.95
1984,123.13
