Response,Share of respondents
"I'll go to the hairdresser, the beautician",32%
"I'm gonna go to the cinema, the theatre, concerts",24%
"I'll go to/organize a party, a family/friend meeting",24%
I'm going on a trip to Poland,21%
I'll go shopping in the mall,20%
"I'll go to a restaurant, cafe, bar",19%
I'm going on a trip to visit family or friends abroad,18%
I'll grill,17%
"I'm gonna go to the gym, fitness club or other sports activities",10%
I will play team sports,6%
I'll still try to isolate for fear of viruses,7%
Other,4%
It's hard to say,14%
