Month,Fatality rate
"Jan 8, 2021",3.09%
"Jan 7, 2021",3.08%
"Jan 6, 2021",3.07%
"Jan 5, 2021",3.05%
"Jan 4, 2021",3.03%
"Jan 3, 2021",3.01%
"Jan 2, 2021",2.99%
"Jan 1, 2021",2.97%
"Dec 31, 2020",2.96%
"Dec 30, 2020",2.95%
"Dec 29, 2020",2.93%
"Dec 28, 2020",2.89%
"Dec 27, 2020",2.86%
"Dec 26, 2020",2.84%
"Dec 25, 2020",2.81%
"Dec 24, 2020",2.8%
"Dec 23, 2020",2.8%
"Dec 22, 2020",2.76%
"Dec 21, 2020",2.71%
"Dec 20, 2020",2.67%
"Dec 19, 2020",2.64%
"Dec 18, 2020",2.61%
"Dec 17, 2020",2.58%
"Dec 16, 2020",2.55%
"Dec 15, 2020",2.53%
"Dec 14, 2020",2.51%
"Dec 13, 2020",2.48%
"Dec 12, 2020",2.45%
"Dec11, 2020",2.44%
"Dec 10, 2020",2.43%
"Dec 9, 2020",2.41%
"Dec 8, 2020",2.38%
"Dec 7, 2020",2.35%
"Dec 6, 2020",2.34%
"Dec 5, 2020",2.34%
"Dec 4, 2020",2.31%
"Dec 3, 2020",2.29%
"Dec 2, 2020",2.28%
"Dec 1, 2020",2.25%
"Nov 30, 2020",2.22%
"Nov 29, 2020",2.2%
"Nov 28, 2020",2.2%
"Nov 27, 2020",2.19%
"Nov 26, 2020",2.2%
"Nov 25, 2020",2.21%
"Nov 24, 2020",2.2%
"Nov 23, 2020",2.19%
"Nov 22, 2020",2.18%
"Nov 21, 2020",2.17%
"Nov 20, 2020",2.15%
"Nov 19, 2020",2.15%
"Nov 18, 2020",2.15%
"Nov 17, 2020",2.14%
"Nov 16, 2020",2.16%
"Nov 15, 2020",2.19%
"Nov 14, 2020",2.18%
"Nov 13, 2020",2.18%
"Nov 12, 2020",2.19%
"Nov 11, 2020",2.19%
"Nov 10, 2020",2.18%
"Nov 9, 2020",2.17%
"Nov 8, 2020",2.22%
"Nov 7, 2020",2.25%
"Nov 6, 2020",2.26%
"Nov 5, 2020",2.26%
"Nov 4, 2020",2.26%
"Nov 3, 2020",2.27%
"Nov 2, 2020",2.28%
"Nov 1, 2020",2.3%
"Oct 31, 2020",2.32%
"Oct 30, 2020",2.37%
"Oct 29, 2020",2.4%
"Oct 28, 2020",2.39%
"Oct 27, 2020",2.41%
"Oct 26, 2020",2.39%
"Oct 25, 2020",2.4%
"Oct 24, 2020",2.47%
"Oct 23, 2020",2.49%
"Oct 22, 2020",2.49%
"Oct 21, 2020",2.5%
"Oct 20, 2020",2.48%
"Oct 19, 2020",2.45%
"Oct 18, 2020",2.46%
"Oct 17, 2020",2.47%
"Oct 16, 2020",2.51%
"Oct 15, 2020",2.27%
"Oct 14, 2020",2.5%
"Oct 13, 2020",2.49%
"Oct 12, 2020",2.49%
"Oct 11, 2020",2.53%
"Oct 10, 2020",2.54%
"Oct 9, 2020",2.59%
"Oct 8, 2020",2.63%
"Oct 7, 2020",2.64%
"Oct 6, 2020",2.64%
"Oct 5, 2020",2.64%
"Oct 4, 2020",2.68%
"Oct 3, 2020",2.73%
"Oct 2, 2020",2.78%
"Oct 1, 2020",2.85%
"Sep 30, 2020",2.89%
"Sep 29, 2020",2.96%
"Sep 28, 2020",3.03%
"Sep 27, 2020",3.06%
"Sep 26, 2020",3.16%
"Sep 25, 2020",3.24%
"Sep 24, 2020",3.34%
"Sep 23, 2020",3.42%
"Sep 22, 2020",3.55%
"Sep 21, 2020",3.63%
"Sep 20, 2020",3.79%
"Sep 19, 2020",3.98%
"Sep 18, 2020",4.15%
"Sep 17, 2020",4.37%
"Sep 16, 2020",4.52%
"Sep 15, 2020",4.65%
"Sep 14, 2020",4.88%
"Sep 13, 2020",5.17%
"Sep 12, 2020",5.35%
"Sep 11, 2020",5.78%
"Sep 10, 2020",6.18%
"Sep 9, 2020",6.46%
"Sep 8, 2020",6.72%
"Sep 7, 2020",6.97%
"Sep 6, 2020",7.44%
"Sep 5, 2020",7.9%
"Sep 4, 2020",8.41%
"Sep 3, 2020",8.95%
"Sep 2, 2020",9.34%
"Sep 1, 2020",9.84%
"Aug 31, 2020",10.01%
"Aug 30, 2020",10.3%
"Aug 29, 2020",10.83%
"Aug 28, 2020",11.14%
"Aug 27, 2020",11.41%
"Aug 26, 2020",11.61%
"Aug 25, 2020",11.77%
"Aug 24, 2020",11.8%
"Aug 23, 2020",11.89%
"Aug 22, 2020",11.9%
"Aug 21, 2020",11.98%
"Aug 20, 2020",12.06%
"Aug 19, 2020",12.17%
"Aug 18, 2020",12.25%
"Aug 17, 2020",12.29%
"Aug 16, 2020",12.36%
"Aug 15, 2020",12.44%
"Aug 14, 2020",12.5%
"Aug 13, 2020",12.61%
"Aug 12, 2020",12.68%
"Aug 11, 2020",12.74%
"Aug 10, 2020",12.78%
"Aug 9, 2020",12.81%
"Aug 8, 2020",12.93%
"Aug 7, 2020",13.02%
"Aug 6, 2020",13.05%
"Aug 5, 2020",13.12%
"Aug 4, 2020",13.13%
"Aug 3, 2020",13.18%
"Aug 2, 2020",13.16%
"Aug 1, 2020",13.19%
"Jul 31, 2020",13.22%
"Jul 30, 2020",13.29%
"Jul 29, 2020",13.34%
"Jul 28, 2020",13.37%
"Jul 27, 2020",13.39%
"Jul 26, 2020",13.43%
"Jul 25, 2020",13.47%
"Jul 24, 2020",13.55%
"Jul 23, 2020",13.6%
"Jul 22, 2020",13.65%
"Jul 21, 2020",13.71%
"Jul 20, 2020",13.73%
"Jul 19, 2020",13.75%
"Jul 18, 2020",13.81%
"Jul 17, 2020",13.85%
"Jul 16, 2020",13.9%
"Jul 15, 2020",13.95%
"Jul 14, 2020",13.97%
"Jul 13, 2020",14%
"Jul 12, 2020",14.05%
"Jul 11, 2020",14.06%
"Jul 10, 2020",14.04%
"Jul 9, 2020",14%
"Jul 8, 2020",13.99%
"Jul 7, 2020",14%
"Jul 6, 2020",14.06%
"Jul 5, 2020",14.08%
"Jul 4, 2020",14.11%
"Jul 3, 2020",14.11%
"Jul 2, 2020",14.09%
"Jul 1, 2020",14.09%
"Jun 30, 2020",14.07%
