Year,GDP per capita in U.S. dollars
2025*,14252.44
2024*,13605.12
2023*,13002.83
2022*,12415.74
2021*,11804.69
2020*,11629.01
2019,12243.84
2018,12123.96
2017,11872.57
2016,11779.24
2015,11422.6
2014,10679.13
2013,10632.95
2012,10054.53
2011,9260.86
2010,8264.2
2009,6897.24
2008,7003.46
2007,6187.39
2006,5295.91
2005,4743.15
2004,4470.86
2003,4213.89
2002,4108.17
2001,4029.58
2000,3927.59
1999,3703.13
1998,3638.58
1997,3437.06
1996,3265.48
1995,3327.39
1994,3105.45
1993,2927.07
1992,2688.05
1991,2318.48
1990,1873.62
1989,1756.8
1988,1591.98
1987,1606.45
1986,1605.22
1985,1472.76
