Month,"Total current, active medical marijuana patients"
Aug 2020,84197
Jul 2020,83306
Jun 2020,83184
May 2020,81953
Apr 2020,80257
Mar 2020,81722
Feb 2020,81893
Jan 2020,81871
Dec 2019,81610
Nov 2019,83587
Oct 2019,81899
Sep 2019,83308
Aug 2019,81035
Jul 2019,87063
Jun 2019,83984
May 2019,83879
Apr 2019,89492
Mar 2019,86443
Feb 2019,86832
Jan 2019,86874
Dec 2018,86641
Nov 2018,85207
Oct 2018,89220
Sep 2018,87012
Aug 2018,86596
Jul 2018,88143
Jun 2018,86755
May 2018,87168
Apr 2018,88946
Mar 2018,87493
Feb 2018,93314
Jan 2018,93095
Dec 2017,93372
Nov 2017,85396
Oct 2017,91745
Sep 2017,92840
Aug 2017,92655
Jul 2017,91658
Jun 2017,83857
May 2017,86964
Apr 2017,88548
Mar 2017,89410
Feb 2017,78369
Jan 2017,86840
