Industry,Percentage of GDP
"Finance, insurance, real estate, rental, and leasing",21%
Professional and business services,12.8%
Government,12.3%
Manufacturing,11%
"Educational services, health care, and social assistance",8.8%
Wholesale trade,6%
Retail trade,5.5%
Information,5.2%
"Arts, entertainment, recreation, accommodation, and food services",4.2%
Construction,4.1%
Transportation and warehousing,3.2%
"Other services, except government",2.1%
Utilities,1.6%
Mining,1.5%
"Agriculture, forestry, fishing, and hunting",0.8%
