Month,Number of video views in billions
Nov-20,30.96
Oct-20,30.02
Sep-20,29.11
Aug-20,28.21
Jul-20,27.24
Jun-20,26.37
May-20,25.61
Apr-20,24.87
Mar-20,24.08
Feb-20,23.35
Jan-20,22.59
Dec-19,21.84
Nov-19,21.08
Oct-19,20.44
Sep-19,19.67
Aug-19,18.9
Jul-19,18.15
Jun-19,17.66
May-19,16.79
Apr-19,15.92
Mar-19,15.08
Feb-19,14.51
Jan-19,13.84
Dec-18,13.31
Nov-18,12.76
Oct-18,12.15
Sep-18,11.5
Aug-18,10.73
Jul-18,9.96
Jun-18,9.34
May-18,8.72
Apr-18,8.34
Mar-18,7.78
Feb-18,7.49
Jan-18,7.03
Dec-17,6.62
Nov-17,6.21
Oct-17,5.67
