business,Revenue in million U.S. dollars
"Wal-Mart Stores, Inc.*",476294
China Petroleum & Chemical Corporation,459852
China National Petroleum Corporation,444237
Royal Dutch Shell p.l.c.,421105
ExxonMobil Corporation,394105
BP p.l.c.,353568
State Grid Corporation of China,341092
Volkswagen AG,268872
Toyota Motor Corporation**,234076
Glencore p.l.c.,221073
Health Insurance Claims Review & Reimbursement Services,220165
Total SA,212018
Chevron Corporation,211970
"Samsung Electronics Co., Ltd.",195864
Berkshire Hathaway Inc.,194673
Apple Inc.***,182795
McKesson Corporation**,179045
Daimler AG,172475
Allianz SE,162356
EXOR SpA,162347
