Month,Bitcoin price index in U.S. dollars
"07 Jan, 2021",36275.76
"06 Jan, 2021",34433.61
"05 Jan, 2021",31431.61
"04 Jan, 2021",33002.54
"03 Jan, 2021",32154.17
"02 Jan, 2021",29333.61
"01 Jan, 2021",29111.52
"Dec, 2020",28768.84
"Nov, 2020",18114.41
Oct 2020,13573.71
Sep 2020,10764.28
Aug 2020,11657.0
Jul 2020,11118.92
Jun 2020,9188.06
May 2020,9688.32
Apr 2020,8773.11
Mar 2020,6483.74
Feb 2020,8778.47
Jan 2020,9545.08
Dec 2019,7251.28
Nov 2019,7729.27
Oct 2019,9226.0
Sep 2019,8085.71
Aug 2019,9590.74
Jul 2019,9572.74
Jun 2019,12024.08
May 2019,8287.04
Apr 2019,5151.43
Mar 2019,4081.22
Feb 2019,3772.94
Jan 2019,3441.03
Dec 2018,3689.56
Nov 2018,3952.45
Oct 2018,6276.46
Sep 2018,6576.61
Aug 2018,6938.91
Jul 2018,8166.39
Jun 2018,6189.31
May 2018,7363.28
Apr 2018,9268.72
Mar 2018,6970.36
Feb 2018,10903.02
Jan 2018,9914.47
Dec 2017,13062.15
Nov 2017,10542.66
Oct 2017,6130.56
Sep 2017,4207.83
Jul 2017,2718.62
Jun 2017,2547.32
May 2017,2170.98
Apr 2017,1311.59
Mar 2017,1048.86
Feb 2017,1189.95
Jan 2017,921.35
Dec 2016,952.46
Nov 2016,731.64
Oct 2016,693.9
Sep 2016,604.52
Aug 2016,573.78
Jul 2016,635.59
Jun 2016,635.09
May 2016,537.23
Apr 2016,454.38
Mar 2016,414.46
Feb 2016,438.28
Jan 2016,378.17
Dec 2015,424.96
Nov 2015,375.2
Oct 2015,327.58
Sep 2015,238.06
Aug 2015,227.18
Jul 2015,286.74
Jun 2015,258.39
May 2015,233.33
Apr 2015,226.0
Mar 2015,247.26
Feb 2015,251.03
Jan 2015,226.94
Dec 2014,309.9
Nov 2014,376.85
Oct 2014,343.56
Sep 2014,376.08
Aug 2014,502.06
Jul 2014,564.57
Jun 2014,597.51
May 2014,612.13
Apr 2014,444.86
Mar 2014,472.48
Feb 2014,567.29
Jan 2014,841.49
Dec 2013,744.17
Nov 2013,1154.93
Oct 2013,196.02
