Month,Price in GBP per kilogram
Nov '19,0.22
Oct '19,0.23
Sep '19,0.24
Aug '19,0.26
Jul '19,0.27
Jun '19,0.24
May '19,0.22
Apr '19,0.22
Mar '19,0.23
Feb '19,0.23
Jan '19,0.23
Dec '18,0.24
Nov '18,0.25
Oct '18,0.26
Sep '18,0.27
Aug '18,0.27
Jul '18,0.28
Jun '18,0.17
May '18,0.16
Apr '18,0.14
Mar '18,0.15
Feb '18,0.15
Jan '18,0.16
Dec '17,0.16
Nov '17,0.17
Oct '17,0.35
Sep '17,0.39
Aug '17,0.44
Jul '17,0.46
Jun '17,0.36
May '17,0.31
Apr '17,0.32
Mar '17,0.32
Feb '17,0.33
Jan '17,0.33
Dec '16,0.33
Nov '16,0.32
Oct '16,0.34
Sep '16,0.34
Aug '16,0.35
Jul '16,0.35
Jun '16,0.29
May '16,0.29
Apr '16,0.31
Mar '16,0.3
Feb '16,0.31
Jan '16,0.31
Dec '15,0.3
Nov '15,0.3
Oct '15,0.32
Sep '15,0.35
Aug '15,0.37
Jul '15,0.39
Jun '15,0.31
May '15,0.29
Apr '15,0.28
Mar '15,0.28
Feb '15,0.29
Jan '15,0.3
