Response,Share of respondents
I have no shopping problems from my mobile device,68%
I like that I can shop anywhere from my mobile phone,67%
I prefer to shop on my laptop/desktop computer,57%
I find it easier to shop on a desktop/laptop becuase of the keyboard and larger screen size,57%
I never make purchases online or from a retailer's app while in that store,55%
Sometimes I use a retailer's app on my phone to make purchases while I am in that store,45%
The larger keyboard and screen size on a desktop/laptop computer doesn't matter to me,43%
I prefer to shop on my mobile device,43%
It doesn't matter to me that I can use my mobile device here when shopping,33%
Shopping on my mobile device can be frustrating,32%
