Telecommunication company,Turnover in million SEK
Telia Company AB,83559
Tele2 AB,23704
Telenor Sverige AB,12845
Eltel AB,12192
Sinch AB (publ),3987
Eltel Networks Infranet AB,3770
Boxer TV-Access AB,1705
Canal Digital Sverige AB,1627
Teracom AB,1606
Transtema Network Services AB,1058
Svenska UMTS-nät AB,1026
Svenska Rymd AB,945
Rebtel Owners AB,918
A3 Allmänn IT - och Telekom AB (publ),806
Zitius Service Delivery AB,757
Telenor Connexion AB,702
Nordic Entertainment Group Technology AB,691
SES Astra-AB,577
Netsize Internet Payment Exchange AB,541
Verizon Sweden AB,533
