Year,Number of present-day countries
2000,1
1999,1
1998,1
1997,2
1996,2
1995,2
1994,2
1993,2
1992,2
1991,2
1990,2
1989,2
1988,2
1987,2
1986,2
1985,2
1984,3
1983,4
1982,4
1981,6
1980,8
1979,11
1978,14
1977,14
1976,15
1975,15
1974,16
1973,17
1972,17
1971,20
1970,23
1969,23
1968,26
1967,27
1966,32
1965,34
1964,38
1963,40
1962,43
1961,46
1960,49
1959,49
1958,49
1957,51
1956,53
1955,55
1954,55
1953,55
1952,55
1951,56
1950,57
1949,57
1948,62
1947,68
1946,70
1945,72
1944,67
1943,67
1942,68
1941,69
1940,67
1939,66
1938,66
1937,66
1936,66
1935,66
1934,67
1933,67
1932,68
1931,71
1930,71
1929,71
1928,71
1927,71
1926,71
1925,71
1924,71
1923,71
1922,72
1921,72
1920,72
1919,72
1918,71
1917,70
1916,68
1915,67
1914,67
1913,65
1912,65
1911,65
1910,65
1909,65
1908,65
1907,65
1906,65
1905,65
1904,65
1903,64
1902,64
1901,64
1900,64
1899,63
1898,62
1897,62
1896,62
1895,62
1894,63
1893,62
1892,61
1891,59
1890,58
1889,56
1888,55
1887,54
1886,52
1885,51
1884,48
1883,47
1882,47
1881,46
1880,46
1879,46
1878,46
1877,43
1876,43
1875,44
1874,44
1873,43
1872,43
1871,43
1870,43
1869,43
1868,43
1867,42
1866,42
1865,42
1864,42
1863,42
1862,42
1861,42
1860,42
1859,42
1858,42
1857,42
1856,42
1855,42
1854,42
1853,42
1852,42
1851,42
1850,42
1849,41
1848,41
1847,41
1846,41
1845,41
1844,40
1843,40
1842,39
1841,38
1840,38
1839,38
1838,36
1837,36
1836,36
1835,36
1834,34
1833,34
1832,34
1831,34
1830,34
1829,34
1828,34
1827,34
1826,32
1825,32
1824,32
1823,32
1822,32
1821,32
1820,32
1819,32
1818,31
1817,32
1816,32
1815,33
1814,32
1813,31
1812,31
1811,31
1810,31
1809,30
1808,30
1807,30
1806,29
1805,28
1804,28
1803,28
1802,30
1801,29
1800,29
1799,27
1798,27
1797,27
1796,26
1795,23
1794,23
1793,22
1792,22
1791,22
1790,22
1789,22
1788,22
1787,24
1786,23
1785,22
1784,22
1783,23
1782,20
1781,21
1780,21
1779,23
1778,24
1777,23
1776,23
1775,23
1774,23
1773,23
1772,23
1771,23
1770,23
1769,22
1768,21
1767,21
1766,21
1765,21
1764,21
1763,22
1762,20
1761,18
1760,18
1759,18
1758,18
1757,17
1756,16
1755,16
1754,16
1753,16
1752,16
1751,16
1750,16
1749,16
1748,16
1747,16
1746,16
1745,16
1744,16
1743,17
1742,17
1741,17
1740,17
1739,17
1738,17
1737,17
1736,17
1735,17
1734,17
1733,17
1732,17
1731,17
1730,17
1729,17
1728,17
1727,17
1726,17
1725,17
1724,17
1723,17
1722,17
1721,16
1720,16
1719,16
1718,16
1717,16
1716,16
1715,16
1714,16
1713,16
1712,15
1711,15
1710,15
1709,15
1708,15
1707,14
1706,14
1705,15
1704,15
1703,15
1702,15
1701,14
1700,15
1699,15
1698,15
1697,14
1696,14
1695,14
1694,14
1693,15
1692,15
1691,14
1690,14
1689,14
1688,14
1687,14
1686,14
1685,14
1684,14
1683,14
1682,14
1681,14
1680,14
1679,14
1678,14
1677,14
1676,14
1675,14
1674,14
1673,14
1672,14
1671,14
1670,14
1669,14
1668,14
1667,16
1666,16
1665,15
1664,15
1663,14
1662,14
1661,14
1660,13
1659,13
1658,13
1657,13
1656,13
1655,13
1654,12
1653,12
1652,12
1651,12
1650,11
1649,11
1648,12
1647,11
1646,11
1645,11
1644,11
1643,11
1642,11
1641,11
1640,11
1639,11
1638,11
1637,9
1636,9
1635,8
1634,8
1633,8
1632,8
1631,7
1630,7
1629,7
1628,7
1627,7
1626,6
1625,6
1624,6
1623,7
1622,6
1621,7
1620,8
1619,7
1618,7
1617,7
1616,7
1615,6
1614,6
1613,6
1612,5
1611,5
1610,5
1609,5
1608,6
1607,5
1606,4
1605,4
1604,4
1603,4
1602,4
1601,4
1600,4
