State,Number of motor vehicle thefts
California,141757
Texas,77489
Florida,39048
Washington,24402
Georgia,23776
Colorado,22113
Missouri,21072
Tennessee,19180
Illinois,18775
Ohio,18672
Arizona,18151
North Carolina,18061
Michigan,17744
Oregon,15185
South Carolina,14975
Indiana,13723
Oklahoma,13378
New York,12704
Alabama,12577
Pennsylvania,12390
Nevada,11260
Maryland,11259
Minnesota,11217
Louisiana,10716
New Jersey,10336
Virginia,10269
Kentucky,10196
New Mexico,8957
Arkansas,7420
Wisconsin,7385
Kansas,7279
Utah,6738
Massachusetts,6132
Connecticut,5964
Mississippi,5747
Hawaii,5254
Iowa,5142
Nebraska,4985
Alaska,2617
West Virginia,2419
Montana,2377
District of Columbia,2333
North Dakota,1792
South Dakota,1756
Delaware,1604
Idaho,1571
Rhode Island,1358
New Hampshire,893
Maine,726
Wyoming,713
Vermont,298
