Month,Number of cases
Apri 2,165
Apr 1,157
Mar 31,110
Mar 30,154
Mar 29,94
Mar 28,99
Mar 27,92
Mar 26,112
Mar 25,133
Mar 24,205
Mar 23,51
Mar 22,119
Mar 21,48
Mar 20,70
Mar 19,103
Mar 18,0
Mar 17,53
Mar 16,15
Mar 15,0
Mar 14,1
Mar 13,17
Mar 12,41
Mar 11,24
Mar 10,0
Mar 9,4
Mar 8,6
Mar 7,0
Mar 6,0
Mar 5,0
Mar 4,4
Mar 3,0
Mar 2,0
Mar 1,0
Feb 29,0
Feb 28,0
Feb 27,0
Feb 26,0
Feb 25,0
Feb 24,0
Feb 23,0
Feb 22,0
Feb 21,0
Feb 20,0
Feb 19,0
Feb 18,0
Feb 17,0
Feb 16,0
Feb 15,0
Feb 14,0
Feb 13,0
Feb 12,0
Feb 11,0
Feb 10,0
Feb 9,0
Feb 8,0
Feb 7,0
Feb 6,0
Feb 5,0
Feb 4,0
Feb 3,0
Feb 2,0
Feb 1,0
Jan 31,0
Jan 30,0
Jan 29,0
Jan 28,0
Jan 27,0
Jan 26,0
Jan 25,0
Jan 24,0
Jan 23,0
Jan 22,0
