Metropolitan area,Number of deaths
"Toronto, Ontario",36061
"Montréal, Quebec",30200
"Vancouver, British Columbia",16230
"Ottawa-Gatineau, Ontario/Quebec",9516
"Edmonton, Alberta",8632
"Calgary, Alberta",7532
"Hamilton, Ontario",7054
"Winnipeg, Manitoba",6621
"Québec, Quebec",6342
"St. Catharines-Niagara, Ontario",4721
"London, Ontario",4285
"Kitchener-Cambridge-Waterloo, Ontario",3853
"Victoria, British Columbia",3691
"Halifax, Nova Scotia",3268
"Windsor, Ontario",2995
"Oshawa, Ontario",2893
"Saskatoon, Saskatchewan",2128
"Kelowna, British Columbia",2016
"Regina, Saskatchewan",1775
"Greater Sudbury, Ontario",1751
"Trois-Rivières, Quebec",1713
"St. John's, Newfoundland and Labrador",1670
"Sherbrooke, Quebec",1646
"Kingston, Ontario",1558
"Barrie, Ontario",1540
"Saguenay, Quebec",1539
"Abbotsford-Mission, British Columbia",1459
"Peterborough, Ontario",1440
"Brantford, Ontario",1428
"Thunder Bay, Ontario",1425
"Saint John, New Brunswick",1327
"Moncton, New Brunswick",1244
"Guelph, Ontario",1171
