metropolitan area,Percentage uninsured
"McAllen-Edinburg-Mission, TX Metro Area",30.6%
"Laredo, TX Metro Area",29.2%
"Brownsville-Harlingen, TX Metro Area",29.1%
"El Paso, TX Metro Area",22.1%
"Longview, TX Metro Area",20%
"Odessa, TX Metro Area",19.7%
"Sherman-Denison, TX Metro Area",19.7%
"Valdosta, GA Metro Area",19.2%
"Tyler, TX Metro Area",18.9%
"Beaumont-Port Arthur, TX Metro Area",18.7%
"Houston-The Woodlands-Sugar Land, TX Metro Area",18.6%
"Corpus Christi, TX Metro Area",17.9%
"Dallas-Fort Worth-Arlington, TX Metro Area",17.1%
"Albany, GA Metro Area",16.6%
"Gainesville, GA Metro Area",16.4%
"Naples-Immokalee-Marco Island, FL Metro Area",16.2%
"Enid, OK Metro Area",16.1%
"Dalton, GA Metro Area",16.1%
"Abilene, TX Metro Area",15.9%
"Elkhart-Goshen, IN Metro Area",15.7%
"Amarillo, TX Metro Area",15.6%
"San Antonio-New Braunfels, TX Metro Area",15.5%
"Yakima, WA Metro Area",15.4%
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",15.2%
"Waco, TX Metro Area",15%
