Response,Share of responding businesses
Attracting customers,75%
Increasing revenue,61%
Maintaining profitability,45%
Retaining/recruiting skilled employees,30%
Tax laws and rules,21%
Uncertainty over economic conditions,19%
"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",19%
Developing new products/innovation,15%
Securing financing for expansion,15%
Securing financing for business as usual,15%
Finding/working with suppliers,12%
Selling to foreign markets,6%
