city of the United States,Per capita income in U.S. dollars
"San Francisco city, California",75084
"Seattle city, Washington",65205
"Washington city, District of Columbia",59808
"San Jose city, California",51310
"Boston city, Massachusetts",48978
"Denver city, Colorado",47802
"Austin city, Texas",46217
"San Diego city, California",43249
"New York city, New York",43046
"Chicago city, Illinois",40277
"Charlotte city, North Carolina",40071
"Nashville-Davidson metropolitan government (balance), Tennessee",38847
"Los Angeles city, California",37779
"Dallas city, Texas",36288
"Houston city, Texas",33377
"Columbus city, Ohio",31843
"Oklahoma City city, Oklahoma",31019
"Jacksonville city, Florida",30780
"Phoenix city, Arizona",30686
"Fort Worth city, Texas",30115
"Philadelphia city, Pennsylvania",29766
"Indianapolis city (balance), Indiana",29008
"San Antonio city, Texas",26826
"El Paso city, Texas",22583
"Detroit city, Michigan",21044
