Month,Number of confirmed cases
Dec 10,2337966
Dec 9,2324216
Dec 8,2309621
Dec 7,2295908
Dec 6,2292497
Dec 5,2281475
Dec 4,2268552
Dec 3,2257331
Dec 2,2244635
Dec 1,2230571
Nov 30,2222488
Nov 29,2218483
Nov 28,2208699
Nov 27,2196119
Nov 26,2183660
Nov 25,2170097
Nov 24,2153815
Nov 23,2144660
Nov 22,2140208
Nov 21,2127051
Nov 20,2109170
Nov 19,2086288
Nov 18,2065138
Nov 17,2036755
Nov 16,1991233
Nov 15,1981827
Nov 14,1954599
Nov 13,1922504
Nov 12,1898710
Nov 11,1865538
Nov 10,1829659
Nov 9,1807479
Nov 8,1787324
Nov 7,1748705
Nov 6,1661853
Nov 5,1601367
Nov 4,1543321
Nov 3,1502763
Nov 2,1466433
Nov 1,1413915
Oct 31,1364625
Oct 30,1331984
Oct 29,1282769
Oct 28,1235132
Oct 27,1198695
Oct 26,1165278
Oct 25,1138507
Oct 24,1086497
Oct 23,1041075
Oct 22,999043
Oct 21,957421
Oct 20,930745
Oct 19,910277
Oct 18,897034
Oct 17,867197
Oct 16,834770
Oct 15,809684
Oct 14,779063
Oct 13,756472
Oct 12,743479
Oct 11,734974
Oct 10,718773
Oct 9,691977
Oct 8,671638
Oct 7,653609
Oct 6,634763
Oct 5,624274
Oct 4,619190
Oct 3,606625
Oct 2,589543
Oct 1,577505
Sep 30,563535
Sep 29,550690
Sep 28,542639
Sep 27,538569
Sep 26,527446
Sep 25,513034
Sep 24,497237
Sep 23,481141
Sep 22,468069
Sep 21,458061
Sep 20,453763
Sep 19,442194
Sep 18,428696
Sep 17,415481
Sep 16,404888
Sep 15,395104
Sep 14,387252
Sep 13,381094
Sep 12,373911
Sep 11,363350
Sep 10,353944
Sep 9,344101
Sep 8,335524
Sep 7,328980
Sep 6,324777
Sep 5,317706
Sep 4,309156
Sep 3,300181
Sep 2,293024
Sep 1,286007
Aug 31,281025
Aug 30,277943
Aug 29,272530
Aug 28,267077
Aug 27,259698
Aug 26,253587
Aug 25,248158
Aug 24,244854
Aug 23,242899
Aug 22,238002
Aug 21,234400
Aug 20,229814
Aug 19,225043
Aug 18,221267
Aug 17,219029
Aug 16,218536
Aug 15,215521
Aug 14,212211
Aug 13,209365
Aug 12,206696
Aug 11,204172
Aug 10,202775
Aug 7,197921
Aug 6,195633
Aug 5,194029
Aug 4,192334
Aug 3,191295
Jul 31,187919
Jul 30,186573
Jul 29,185196
Jul 28,183804
Jul 27,183079
Jul 24,180528
Jul 23,179398
Jul 22,178336
Jul 21,177338
Jul 20,176754
Jul 17,174674
Jul 16,173838
Jul 15,173304
Jul 13,172377
Jul 10,170752
Jul 9,170094
Jul 8,169473
Jul 7,168810
Jul 6,168335
Jul 3,166960
Jul 2,166378
Jul 1,165719
Jun 30,164801
Jun 29,164260
Jun 28,163980
Jun 27,163454
Jun 26,162936
Jun 25,161348
Jun 24,161348
Jun 23,161267
Jun 22,160750
Jun 21,160377
Jun 20,160093
Jun 19,159452
Jun 18,158641
Jun 17,158174
Jun 16,157716
Jun 15,157372
Jun 14,157220
Jun 13,156813
Jun 12,156287
Jun 11,155561
Jun 10,155136
Jun 9,154591
Jun 8,154188
Jun 7,153977
Jun 6,153634
Jun 5,153055
Jun 4,152444
Jun 3,151677
Jun 2,151325
Jun 1,152091
May 31,151753
May 30,151496
May 29,149668
May 28,149071
May 27,145746
May 26,145555
May 25,145279
May 24,144921
May 23,144806
May 22,144566
May 21,144163
May 20,143845
May 19,143427
May 18,142903
May 17,142411
May 16,142291
May 15,141919
May 14,141356
May 13,140734
May 12,140227
May 11,139519
May 10,139063
May 9,138854
May 8,138421
May 7,137779
May 6,137150
May 5,132967
May 4,131863
May 3,131287
May 2,130979
May 1,130185
Apr 30,129581
Apr 29,128442
Apr 28,126835
Apr 27,125770
Apr 26,124575
Apr 25,124114
Apr 24,122577
Apr 23,120840
Apr 22,119151
Apr 21,117324
Apr 20,114657
Apr 19,112606
Apr 18,111821
Apr 17,109252
Apr 16,108847
Apr 15,106206
Apr 14,103573
Apr 13,98076
Apr 12,95403
Apr 11,93790
Apr 10,90676
Apr 9,86334
Apr 8,82048
Apr 7,78167
Apr 6,74389
Apr 5,70478
Apr 4,68605
Apr 3,64338
Apr 2,59105
Apr 1,56989
Mar 31,52128
Mar 30,44550
Mar 29,40174
Mar 28,37575
Mar 27,32964
Mar 26,29155
Mar 25,25233
Mar 24,22302
Mar 23,19856
Mar 22,16018
Mar 21,14459
Mar 20,12612
Mar 19,10995
Mar 18,9134
Mar 17,7730
Mar 16,6633
Mar 15,5423
Mar 14,4499
Mar 13,3661
Mar 12,2876
Mar 11,2281
Mar 10,1784
Mar 9,1412
Mar 8,1126
Mar 7,949
Mar 6,613
Mar 5,423
Mar 4,285
Mar 3,212
Mar 2,191
Mar 1,130
Feb 29,100
Feb 28,73
Feb 27,38
Feb 26,18
Feb 25,14
Feb 24,12
Feb 23,12
Feb 22,12
Feb 21,12
