Month,Number of daily confirmed cases
Jan 3,362963
Jan 2,361472
Jan 1,359362
Dec 31,356351
Dec 30,353222
Dec 29,351386
Dec 28,349735
Dec 27,348359
Dec 26,347101
Dec 25,345351
Dec 24,342533
Dec 23,339933
Dec 22,337440
Dec 21,336222
Dec 20,334629
Dec 19,332371
Dec 18,330457
Dec 17,328277
Dec 16,325511
Dec 15,322557
Dec 14,320036
Dec 13,317031
Dec 12,314093
Dec 11,311067
Dec 10,308601
Dec 9,305688
Dec 8,303157
Dec 7,300976
Dec 6,298231
Dec 5,295071
Dec 4,291437
Dec 3,287654
Dec 2,283994
Dec 1,280530
Nov 30,278182
Nov 29,274275
Nov 28,269510
Nov 27,264692
Nov 26,259245
Nov 25,253349
Nov 24,249214
Nov 23,246124
Nov 22,240909
Nov 21,234670
Nov 20,228058
Nov 19,221228
Nov 18,213462
Nov 17,207798
Nov 16,203494
Nov 15,198216
Nov 14,191024
Nov 13,182062
Nov 12,171694
Nov 11,162051
Nov 10,158212
Nov 9,152508
Nov 8,146502
Nov 7,138604
Nov 6,132280
Nov 5,125229
Nov 4,118715
Nov 3,114270
Nov 2,111110
Nov 1,106584
Oct 31,101443
Oct 30,96200
Oct 29,91895
Oct 28,87746
Oct 27,85048
Oct 26,82536
Oct 25,79770
Oct 24,76781
Oct 23,73339
Oct 22,70769
Oct 21,68414
Oct 20,66611
Oct 19,65557
Oct 18,64495
Oct 17,62455
Oct 16,60764
Oct 15,59368
Oct 14,57762
Oct 13,56591
Oct 12,55983
Oct 11,54685
Oct 10,53784
Oct 9,52608
Oct 8,51382
Oct 7,50435
Oct 6,49886
Oct 5,48618
Oct 4,48019
Oct 3,47189
Oct 2,46317
Oct 1,45753
Sep 30,44607
Sep 29,43885
Sep 28,43466
Sep 27,42940
Sep 26,42317
Sep 25,41246
Sep 24,40558
Sep 23,39897
Sep 22,39150
Sep 21,38557
Sep 20,37948
Sep 19,37191
Sep 18,36370
Sep 17,35448
Sep 16,34744
Sep 15,33884
Sep 14,33335
Sep 13,32951
Sep 12,32456
Sep 11,31666
Sep 10,31104
Sep 9,30200
Sep 8,29875
Sep 7,29308
Sep 6,29056
Sep 5,28869
Sep 4,28495
Sep 3,28183
Sep 2,27741
Sep 1,27404
Aug 31,27218
Aug 30,26937
Aug 29,26763
Aug 28,26381
Aug 27,26154
Aug 26,25838
Aug 25,25547
Aug 24,25239
Aug 23,25099
Aug 22,24883
Aug 21,24608
Aug 20,24300
Aug 19,23875
Aug 18,23717
Aug 17,23373
Aug 16,23211
Aug 15,22951
Aug 14,22730
Aug 13,22501
Aug 12,22260
Aug 11,22122
Aug 10,22011
Aug 9,21935
Aug 8,21819
Aug 7,21689
Aug 6,21575
Aug 5,21472
Aug 4,21341
Aug 3,21309
Aug 2,21224
Aug 1,21098
July 31,21009
July 30,20846
July 29,20682
July 28,20550
July 27,20486
July 26,20349
July 25,20229
July 24,20148
July 23,20038
July 22,19679
July 21,19679
July 20,19571
July 19,19508
July 18,19406
July 17,19268
July 16,19115
July 15,19060
July 14,18859
July 13,18847
July 12,18795
July 11,18687
July 10,18613
July 9,18516
July 8,18415
July 7,18326
July 6,18269
July 5,18196
July 4,18073
July 3,17952
July 2,17814
July 1,17777
June 30,17666
June 29,17625
June 28,17562
June 27,17498
June 26,17431
June 25,17384
June 24,17351
June 23,17320
June 22,17285
June 21,17247
June 20,17185
June 19,17155
June 18,17115
June 17,17098
June 16,17065
June 15,17038
June 14,17014
June 13,16994
June 12,16964
June 11,16936
June 10,16902
June 9,16889
June 8,16868
June 7,16822
June 6,16803
June 5,16741
June 4,16705
June 3,16674
June 2,16663
June 1,16642
May 31,16638
May 30,16594
May 29,16543
May 28,16515
May 27,16497
May 26,16459
May 25,16439
May 24,16407
May 23,16361
May 22,16332
May 21,16275
May 20,16257
May 19,16179
May 18,16154
May 17,16140
May 16,16068
May 15,16005
May 14,15964
May 13,15910
May 12,15874
May 11,15787
May 10,15777
May 9,15735
May 8,15673
May 7,15651
May 6,15586
May 5,15569
May 4,15538
May 3,15470
May 2,15458
May 1,15424
Apr 30,15364
Apr 29,15314
Apr 28,15256
Apr 27,15189
Apr 26,15134
Apr 25,15068
Apr 24,14985
Apr 23,14924
Apr 22,14833
Apr 21,14783
Apr 20,14710
Apr 19,14662
Apr 18,14603
Apr 17,14448
Apr 16,14370
Apr 15,14234
Apr 14,14043
Apr 13,13937
Apr 12,13807
Apr 11,13560
Apr 10,13248
Apr 9,12969
Apr 8,12640
Apr 7,12297
Apr 6,11983
Apr 5,11766
Apr 4,11525
Apr 3,11129
Apr 2,10711
Apr 1,10182
Mar 31,9618
Mar 30,8813
Mar 29,8291
Mar 28,7697
Mar 27,7029
Mar 26,5888
Mar 25,5282
Mar 24,4486
Mar 23,3631
Mar 22,3024
Mar 21,2649
Mar 20,1843
Mar 19,1646
Mar 18,1471
Mar 17,1132
Mar 16,959
Mar 15,800
Mar 14,504
Mar 13,504
Mar 12,302
Mar 11,182
Mar 10,131
Mar 9,112
Mar 8,102
Mar 7,74
Mar 6,47
Mar 5,37
Mar 4,27
Mar 3,18
Mar 2,10
Mar 1,10
Feb 29,10
Feb 28,5
Feb 27,4
Feb 26,2
Feb 25,2
