Response,Share of respondents
Not applicable - I don't think any of them are trustworthy,32%
"Casual dining restaurants other the fast food (e.g., Applebees, Olive Garden etc.)",25%
Clothing stores,20%
Fast food restaurants,16%
Consumer electronics,14%
Cars,10%
Household electronics and appliances,10%
Food products (other than health foods),9%
Pharmaceutical products,9%
Travel and leisure services,6%
Gadgets and tools,6%
Health foods,6%
Financial or insurance services/products,6%
Environmentally friendly products,5%
Cosmetic and beauty products,5%
Diet products,2%
