Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",30.88
"Arts, entertainment, recreation, accommodation, and food services",23.37
Professional and business services,18.08
Government and government enterprises,15.55
Retail trade,11.87
"Educational services, health care, and social assistance",10.86
Manufacturing,7.66
Construction,7.22
Transportation and warehousing,6.79
Wholesale trade,6.79
Information,5.53
"Mining, quarrying, and oil and gas extraction",4.19
Utilities,2.07
"Agriculture, forestry, fishing, and hunting",0.56
