app,Number of downloads in millions
"Spotify: Listen to new music, podcasts, and songs",9.31
YouTube Music - Stream Songs & Music Videos,4.62
Tube Music Downloader - Tubeplay mp3 Downloader,4.26
Shazam: Discover songs & lyrics in seconds,3.5
"StarMaker: Sing free Karaoke, Record music videos",3.08
"JioSaavn Music & Radio – JioTunes, Podcasts, Songs",2.56
Wynk Music- New MP3 Hindi Songs Download HelloTune,2.3
Drum Pad Machine - Beat Maker & Music Maker,2.27
Resso,2.24
Gaana Song Hotshots Video Music Free Hindi MP3 App,2.12
