 Kickstarter projects,Funds raised in U.S. dollars
Pebble Time (2015),20338986
Coolest Cooler (2014),13285226
Pebble (2012),10266245
Double Fine Adventure (2012),3336371
Elevation Dock (2012),1464706
TikTok+LunaTik (2010),942578
Save Blue Like Jazz (2010),345992
Decentralize the Web with Diaspora (2010),200641
Designing Obama (2009),84613
"The Vanderbilt Republic Foundation: ""Masters"" (2009)",50264
Release The Next Five Times August Album (2009),20546
"Help Polyvinyl Save 10,000 Records From Destruction (2009)",15625
Allison Weiss makes a full-length record (2009),7711
New York Makes a Book (2009),3329
