leading banks,Value in billion euros
BNP Paribas SA,61.08
Crédit Agricole SA,35.55
Société Générale SA,25.41
Natixis SA,12.13
Caisse regionale de Credit Agricole Mutuel de Paris et d'Ile-de-France,0.86
Caisse Regionale de Credit Agricole Mutuel Brie Picardie,0.55
Caisse Regionale de Credit Agricole Mutuel de Nord de France SC,0.5
Caisse Regionale de Credit Agricole Mutuel d'Ille-et-Vilaine SC,0.27
Caisse Regionale de Credit Agricole Mutuel Atlantique Vendee SC,0.21
Caisse Regionale de Credit Agricole Mutuel Toulouse 31 SC,0.19
