Month,GDP growth
Oct 20,0.4%
Sep 20,1.1%
Aug 20,2.2%
Jul 20,6.3%
Jun 20,9.1%
May 20,2.7%
Apr 20,-19.5%
Mar 20,-7.3%
Feb 20,-0.3%
Jan 20,0.1%
Dec 19,0.1%
Nov 19,-0.3%
Oct 19,0.2%
Sep19,0%
Aug 19,-0.1%
Jul 19,0.3%
Jun 19,0.1%
May 19,0.3%
Apr 19,-0.4%
Mar 19,0.2%
Feb 19,0.4%
Jan 19,0.4%
Dec 18,-0.3%
Nov 18,0.1%
Oct 18,0.3%
Sep 18,0.1%
Aug 18,0.1%
Jul 18,0.3%
Jun 18,0.3%
May 18,0.2%
Apr 18,0.2%
Mar 18,0%
Feb 18,-0.3%
Jan 18,0.1%
Dec 17,0.1%
Nov 17,0.3%
Oct 17,-0.1%
Sep 17,0.3%
Aug 17,0.2%
Jul 17,0.1%
Jun 17,0.1%
May 17,0.3%
Apr 17,0.1%
Mar 17,0.2%
Feb 17,-0.2%
Jan 17,0.2%
Dec 16,0.5%
Nov 16,0.3%
Oct 16,0%
Sep 16,0.3%
Aug 16,0.1%
Jul 16,0.1%
Jun 16,0.1%
May 16,-0.3%
Apr 16,0.6%
Mar 16,-0.2%
Feb 16,0.3%
Jan 16,-0.1%
Dec 15,0.2%
Nov 15,0.1%
Oct 15,0.3%
Sep 15,0.3%
Aug 15,-0.2%
Jul 15,0.4%
Jun 15,0.1%
May 15,-0.1%
Apr 15,0.6%
Mar 15,0.2%
Feb 15,0.2%
Jan 15,0%
Dec 14,0.1%
Nov 14,0.2%
Oct 14,0.3%
Sep 14,0.2%
Aug 14,0%
Jul 14,0.4%
Jun 14,0.2%
May 14,0.3%
Apr 14,-0.1%
Mar 14,0.6%
Feb 14,0.4%
Jan 14,0.5%
Dec 13,-0.2%
Nov 13,0%
Oct 13,0.6%
Sep 13,0%
Aug 13,0.3%
Jul 13,0.4%
Jun 13,0.1%
May 13,0.5%
Apr 13,0.2%
Mar 13,-0.1%
Feb 13,0.7%
Jan 13,0.3%
Dec 12,-0.2%
Nov 12,0.1%
Oct 12,0.5%
Sep 12,-1%
Aug 12,0.5%
Jul 12,1.9%
Jun 12,-1.6%
May 12,1.2%
Apr 12,-0.5%
Mar 12,0.3%
Feb 12,-0.3%
Jan 12,0.2%
Dec 11,0.2%
Nov 11,1%
Oct 11,-0.5%
Sep 11,0.2%
Aug 11,-0.4%
Jul 11,0.4%
Jun 11,-0.1%
May 11,1%
Apr 11,-0.9%
Mar 11,0.5%
Feb 11,0.4%
Jan 11,0.6%
Dec 10,-0.9%
Nov 10,-0.1%
Oct 10,0.2%
Sep 10,0.2%
Aug 10,0.2%
Jul 10,0.4%
Jun 10,0.3%
May 10,0.3%
Apr 10,0%
Mar 10,0.8%
Feb 10,1.3%
Jan 10,-0.8%
