Month,Number of new cases
"Jan 5, 2021",137
"Jan 4, 2021",295
"Jan 3, 2021",147
"Jan 2, 2021",198
"Jan 1, 2021",127
"Dec 31, 2020",253
"Dec 30, 2020",256
"Dec 29, 2020",306
"Dec 28, 2020",430
"Dec 27, 2020",189
"Dec 26, 2020",185
"Dec 25, 2020",157
"Dec 24, 2020",138
"Dec 23, 2020",277
"Dec 22, 2020",331
"Dec 21, 2020",374
"Dec 20, 2020",244
"Dec 19, 2020",190
"Dec 18, 2020",395
"Dec 17, 2020",319
"Dec 16, 2020",350
"Dec 15, 2020",358
"Dec 14, 2020",463
"Dec 13, 2020",276
"Dec 12, 2020",250
"Dec 11, 2020",444
"Dec 10, 2020",408
"Dec 9, 2020",464
"Dec 8, 2020",478
"Dec 7, 2020",588
"Dec 6, 2020",282
"Dec 5, 2020",250
"Dec 4, 2020",472
"Dec 3, 2020",477
"Dec 2, 2020",495
"Dec 1, 2020",439
"Nov 30, 2020",596
"Nov 29, 2020",293
"Nov 28, 2020",284
"Nov 27, 2020",455
"Nov 26, 2020",510
"Nov 25, 2020",599
"Nov 24, 2020",469
"Nov 23, 2020",504
"Nov 22, 2020",267
"Nov 21, 2020",268
"Nov 20, 2020",428
"Nov 19, 2020",478
"Nov 18, 2020",376
"Nov 17, 2020",391
"Nov 16, 2020",392
"Nov 15, 2020",182
"Nov 14, 2020",145
"Nov 13, 2020",266
"Nov 12, 2020",282
"Nov 11, 2020",294
"Nov 10, 2020",205
"Nov 9, 2020",273
"Nov 8, 2020",133
"Nov 7, 2020",128
"Nov 6, 2020",196
"Nov 5, 2020",221
"Nov 4, 2020",213
"Nov 3, 2020",241
"Nov 2, 2020",289
"Nov 1, 2020",150
"Oct 31, 2020",121
"Oct 30, 2020",219
"Oct 29, 2020",237
"Oct 28, 2020",239
"Oct 27, 2020",231
"Oct 26, 2020",256
"Oct 25, 2020",124
"Oct 24, 2020",107
"Oct 23, 2020",192
"Oct 22, 2020",220
"Oct 21, 2020",188
"Oct 20, 2020",166
"Oct 19, 2020",244
"Oct 18, 2020",129
"Oct 17, 2020",104
"Oct 16, 2020",195
"Oct 15, 2020",190
"Oct 14, 2020",201
"Oct 13, 2020",198
"Oct 12, 2020",255
"Oct 11, 2020",130
"Oct 10, 2020",109
"Oct 9, 2020",227
"Oct 8, 2020",258
"Oct 7, 2020",306
"Oct 6, 2020",303
"Oct 5, 2020",291
"Oct 4, 2020",148
"Oct 3, 2020",180
"Oct 2, 2020",188
"Oct 1, 2020",188
"Sep 30, 2020",165
"Sep 29, 2020",134
"Sep 28, 2020",122
"Sep 27, 2020",71
"Sep 26, 2020",74
"Sep 25, 2020",127
"Sep 24, 2020",98
"Sep 23, 2020",117
"Sep 22, 2020",110
"Sep 21, 2020",120
"Sep 20, 2020",74
"Sep 19, 2020",61
"Sep 18, 2020",77
"Sep 17, 2020",85
"Sep 16, 2020",57
"Sep 15, 2020",53
"Sep 14, 2020",59
"Sep 13, 2020",46
"Sep 12, 2020",41
"Sep 11, 2020",57
"Sep 10, 2020",52
"Sep 9, 2020",55
"Sep 8, 2020",57
"Sep 7, 2020",45
"Sep 6, 2020",33
"Sep 5, 2020",22
"Sep 4, 2020",42
"Sep 3, 2020",35
"Sep 2, 2020",26
"Sep 1, 2020",29
"Aug 31, 2020",48
"Aug 30, 2020",17
"Aug 26, 2020",20
"Aug 29, 2020",19
"Aug 28, 2020",33
"Aug 27, 2020",32
"Aug 25, 2020",14
"Aug 24, 2020",17
"Aug 23, 2020",10
"Aug 22, 2020",16
"Aug 21, 2020",25
"Aug 20, 2020",26
"Aug 19, 2020",47
"Aug 18, 2020",39
"Aug 17, 2020",27
"Aug 16, 2020",43
"Aug 15, 2020",13
"Aug 14, 2020",28
"Aug 13, 2020",22
"Aug 12, 2020",26
"Aug 11, 2020",25
"Aug 10, 2020",15
"Aug 9, 2020",35
"Aug 8, 2020",9
"Aug 7, 2020",17
"Aug 6, 2020",22
"Aug 5, 2020",28
"Aug 4, 2020",21
"Aug 3, 2020",35
"Aug 2, 2020",10
"Aug 1, 2020",14
"Jul 31, 2020",18
"Jul 30, 2020",8
"Jul 29, 2020",12
"Jul 28, 2020",8
"Jul 27, 2020",13
"Jul 26, 2020",8
"Jul 25, 2020",4
"Jul 24, 2020",10
"Jul 23, 2020",3
"Jul 22, 2020",11
"Jul 21, 2020",8
"Jul 20, 2020",12
"Jul 19, 2020",4
"Jul 18, 2020",7
"Jul 17, 2020",6
"Jul 16, 2020",10
"Jul 15, 2020",5
"Jul 14, 2020",5
"Jul 13, 2020",7
"Jul 12, 2020",4
"Jul 11, 2020",0
"Jul 10, 2020",7
"Jul 9, 2020",8
"Jul 8, 2020",9
"Jul 7, 2020",3
"Jul 6, 2020",6
"Jul 5, 2020",2
"Jul 4, 2020",2
"Jul 3, 2020",5
"Jul 2, 2020",7
"Jul 1, 2020",2
"Jun 30, 2020",10
"Jun 29, 2020",15
"Jun 28, 2020",7
"Jun 27, 2020",2
"Jun 26, 2020",2
"Jun 25, 2020",14
"Jun 24, 2020",15
"Jun 23, 2020",5
"Jun 22, 2020",5
"Jun 21, 2020",13
"Jun 20, 2020",2
"Jun 19, 2020",0
"Jun 18, 2020",8
"Jun 17, 2020",3
"Jun 16, 2020",8
"Jun 15, 2020",15
"Jun 14, 2020",3
"Jun 13, 2020",2
"Jun 12, 2020",13
"Jun 11, 2020",9
"Jun 10, 2020",7
