food category,Distribution share
Processed snacks/candy/desserts,25%
Processed frozen/dried/chilled prepared meals,14%
Cereals,11%
Condiments/sauces/dressings,10%
Processed meats (sausage/deli meat/hot dogs),8%
Milk/eggs/yogurt,4%
Juice and kids' drinks,4%
Coffee,4%
Soups/canned meals,4%
Frozen baked goods (biscuits/strudel/garlic bread),2%
Cheese (sliced/grated/whole),2%
Soda,2%
Butter/cream/sour cream/whipped cream,2%
Water,1%
Fresh vegetables,1%
Canned vegetables,1%
Dry tea,1%
Frozen vegetables,1%
"Meats (frozen or fresh, not flavored and not breaded)",1%
Bread/tortillas,0%
Dry beans,0%
Frozen fruits,0%
Canned fruits,0%
Fresh fruits,0%
Pasta/rice,0%
Sports drinks,0%
Canned beans,0%
Nuts/seeds,0%
Energy drinks,0%
