Country,Index from 0 (no impact of terrorism) to 10 (highest impact of terrorism)
Afghanistan,9.59
Iraq,8.68
Nigeria,8.31
Syria,7.78
Somalia,7.65
Yemen,7.58
Pakistan,7.54
India,7.35
Democratic Republic of the Congo,7.18
Philippines,7.1
Mali,7.05
Burkina Faso,6.76
Cameroon,6.63
Egypt,5.42
Mozambique,6.4
Libya,6.25
Central African Republic,6.24
Turkey,6.11
Colombia,6.1
Sri Lanka,6.07
Thailand,5.78
South Sudan,5.73
Kenya,5.64
Niger,5.62
Myanmar,5.54
Sudan,5.4
Nepal,5.34
Ethiopia,5.31
United States of America,5.26
United Kingdom,5.16
Palestine,5.08
Saudi Arabia,5.0
Bangladesh,4.91
Chad,4.83
Burundi,4.7
Ukraine,4.69
Indonesia,4.63
France,4.61
Russia,4.54
Israel,4.52
South Africa,4.36
New Zealand,4.34
Mexico,4.32
Greece,4.18
Tajikistan,4.18
Iran,4.16
Chile,4.03
Germany,3.97
Tunisia,3.86
Rwanda,3.76
