Year,GDP per capita in U.S. dollars
2025*,112518.85
2024*,107192.0
2023*,101923.03
2022*,96391.21
2021*,90478.08
2020*,79668.5
2019,80504.4
2018,79133.17
2017,69869.54
2016,62710.0
2015,61850.64
2014,55390.22
2013,51550.93
2012,48892.23
2011,519312.0
2010,48716.46
2009,52100.83
2008,61193.2
2007,60812.43
2006,53762.86
2005,50475.6
2004,47336.15
2003,40921.16
2002,32438.47
2001,28079.52
2000,26151.62
1999,26189.63
1998,24172.17
1997,22461.55
1996,20774.86
1995,19080.8
1994,15450.5
1993,14258.32
1992,15327.07
1991,13743.88
1990,13640.5
1989,10751.24
1988,10362.03
1987,9416.55
1986,7990.64
1985,5932.68
