State,Number of aggravated assaults
California,105541
Texas,76253
Florida,55475
New York,44555
Illinois,32187
Tennessee,31186
Michigan,30545
North Carolina,27517
Georgia,24633
Pennsylvania,24465
Arizona,22704
Missouri,21936
South Carolina,20105
Ohio,19154
Louisiana,18695
Alabama,18679
Indiana,16783
Massachusetts,16609
Maryland,15798
Colorado,14185
Washington,13700
New Mexico,13640
Arkansas,13513
Oklahoma,12183
Wisconsin,11643
Virginia,10987
New Jersey,10852
Nevada,9620
Kansas,9154
Oregon,7825
Minnesota,7618
Iowa,6323
Kentucky,5747
Mississippi,5493
Utah,4534
West Virginia,4464
Alaska,4360
District of Columbia,4179
Connecticut,3742
Nebraska,3731
Montana,3472
Idaho,3001
Delaware,2967
South Dakota,2676
Hawaii,2098
North Dakota,1529
Rhode Island,1408
New Hampshire,1138
Vermont,902
Wyoming,854
Maine,824
