Response,Percentage of single-person households
District of Columbia,44.75
North Dakota,33.66
Vermont,31.64
New Mexico,31.32
Maine,31.19
Ohio,31.08
Rhode Island,31.02
Illinois,30.77
Montana,30.69
New York,30.5
Michigan,30.49
Wisconsin,30.49
Indiana,30.38
Mississippi,30.27
Missouri,30.25
Louisiana,30.25
Pennsylvania,30.15
South Dakota,29.93
Alabama,29.84
West Virginia,29.64
Iowa,29.63
Arkansas,29.48
Minnesota,29.39
Kentucky,29.15
Kansas,29.11
Connecticut,29.0
South Carolina,28.99
Delaware,28.8
Tennessee,28.74
Nebraska,28.72
Florida,28.64
Oklahoma,28.64
North Carolina,28.61
Massachusetts,28.59
Nevada,28.52
United States,28.3
Maryland,28.17
Oregon,28.14
Georgia,28.0
Virginia,27.71
New Hampshire,27.64
Wyoming,27.43
Alaska,27.4
Arizona,27.29
Colorado,27.1
Washington,26.63
New Jersey,26.4
Texas,25.63
Hawaii,25.21
Idaho,24.64
California,24.08
Utah,19.16
