Job,"Fatalities per 100,000"
Operating engineers and constructionequipment operators,11.0
"Athletes, coaches, umpires, and related workers",11.3
Grounds maintenance workers,14.0
Electrical power-line installers and repairs,15.6
Construction laborers,15.6
Taxi drivers and chauffers,16.1
Police and sheriff's patrol officers,18.0
Drivers/sales workers and truck drivers,21.8
Refuse and recyclable material collectors,22.8
Roofers,32.4
Coal mining,38.9
Farmers and ranchers,41.4
Aircraft pilots and flight engineers,70.6
Logging workers,91.9
Fishers and related fishing workers,116.0
