Quarter,"Number of jobs (in 1,000s)"
Q3 2020,34685
Q2 2020,35160
Q1 2020,35620
Q4 2019,35658
Q3 2019,35627
Q2 2019,35557
Q1 2019,35452
Q4 2018,35233
Q3 2018,35075
Q2 2018,34980
Q1 2018,34955
Q4 2017,34865
Q3 2017,34956
Q2 2017,34862
Q1 2017,34860
Q4 2016,34656
Q3 2016,34591
Q2 2016,34568
Q1 2016,34385
Q4 2015,34144
Q3 2015,34081
Q2 2015,33897
Q1 2015,33821
Q4 2014,33678
Q3 2014,33573
Q2 2014,33444
Q1 2014,33152
Q4 2013,32823
Q3 2013,32461
Q2 2013,32235
Q1 2013,32195
Q4 2012,31978
Q3 2012,32028
Q2 2012,32091
Q1 2012,32167
Q4 2011,31794
Q3 2011,31775
Q2 2011,31559
Q1 2011,31652
Q4 2010,31553
Q3 2010,31505
Q2 2010,31561
Q1 2010,31496
Q4 2009,31465
Q3 2009,31606
Q2 2009,31730
Q1 2009,31924
Q4 2008,32118
Q3 2008,32314
Q2 2008,32347
Q1 2008,32293
Q4 2007,32248
Q3 2007,32219
Q2 2007,32087
Q1 2007,32007
Q4 2006,32064
Q3 2006,31950
Q2 2006,31810
Q1 2006,31709
Q4 2005,31628
Q3 2005,31542
Q2 2005,31404
Q1 2005,31357
Q4 2004,31212
Q3 2004,31063
Q2 2004,31032
Q1 2004,30980
Q4 2003,30893
Q3 2003,30876
Q2 2003,30709
Q1 2003,30538
Q4 2002,30482
Q3 2002,30505
Q2 2002,30420
Q1 2002,30319
Q4 2001,30319
Q3 2001,30315
Q2 2001,30142
Q1 2001,30025
Q4 2000,30009
Q3 2000,29961
Q2 2000,29779
Q1 2000,29640
Q4 1999,29714
Q3 1999,29578
Q2 1999,29328
Q1 1999,29243
Q4 1998,29210
Q3 1998,29049
Q2 1998,28951
Q1 1998,29044
Q4 1997,29018
Q3 1997,28906
Q2 1997,28760
Q1 1997,28500
Q4 1996,28495
Q3 1996,28406
Q2 1996,28243
Q1 1996,28098
Q4 1995,28195
Q3 1995,28048
Q2 1995,28044
Q1 1995,27928
Q4 1994,27947
Q3 1994,27873
Q2 1994,27675
Q1 1994,27628
Q4 1993,27651
Q3 1993,27579
Q2 1993,27517
Q1 1993,27530
Q4 1992,27415
Q3 1992,27555
Q2 1992,27963
Q1 1992,28116
Q4 1991,28126
Q3 1991,28277
Q2 1991,28444
Q1 1991,28734
Q4 1990,29043
Q3 1990,29264
Q2 1990,29370
Q1 1990,29283
Q4 1989,29264
Q3 1989,29160
Q2 1989,29049
Q1 1989,28948
Q4 1988,28642
Q3 1988,28441
Q2 1988,28161
Q1 1988,27949
Q4 1987,27733
Q3 1987,27476
Q2 1987,27188
Q1 1987,26879
Q4 1986,26817
Q3 1986,26763
Q2 1986,26654
Q1 1986,26614
Q4 1985,26654
Q3 1985,26678
Q2 1985,26607
Q1 1985,26558
Q4 1984,26507
Q3 1984,26417
Q2 1984,26293
Q1 1984,26173
Q4 1983,26044
Q3 1983,25881
Q2 1983,25589
Q1 1983,25522
Q4 1982,25588
Q3 1982,25790
Q2 1982,25895
Q1 1982,25990
Q4 1981,26047
Q3 1981,26251
Q2 1981,26348
Q1 1981,26551
Q4 1980,26813
Q3 1980,27108
Q2 1980,27369
Q1 1980,27465
Q4 1979,27542
Q3 1979,27493
Q2 1979,27413
Q1 1979,27303
Q4 1978,27274
Q3 1978,27092
Q2 1978,26988
Q1 1978,26943
Q4 1977,26872
Q3 1977,26846
Q2 1977,26823
Q1 1977,26823
Q4 1976,26816
Q3 1976,26775
Q2 1976,26784
Q1 1976,26804
Q4 1975,26881
Q3 1975,26954
Q2 1975,27023
Q1 1975,27066
Q4 1974,27154
Q3 1974,27211
Q2 1974,27113
Q1 1974,27055
Q4 1973,27083
Q3 1973,27055
Q2 1973,27023
Q1 1973,27035
Q4 1972,26688
Q3 1972,26514
Q2 1972,26396
Q1 1972,26402
Q4 1971,26205
Q3 1971,26219
Q2 1971,26408
Q1 1971,26427
Q4 1970,26631
Q3 1970,26693
Q2 1970,26747
Q1 1970,26844
Q4 1969,26812
Q3 1969,26841
Q2 1969,26843
Q1 1969,26836
Q4 1968,26844
Q3 1968,26834
Q2 1968,26808
Q1 1968,26830
Q4 1967,26874
Q3 1967,26997
Q2 1967,26958
Q1 1967,26933
Q4 1966,27084
Q3 1966,27331
Q2 1966,27324
Q1 1966,27332
Q4 1965,27285
Q3 1965,27165
Q2 1965,27146
Q1 1965,27117
Q4 1964,27061
Q3 1964,26984
Q2 1964,26861
Q1 1964,26759
Q4 1963,26708
Q3 1963,26565
Q2 1963,26542
Q1 1963,26328
Q4 1962,26415
Q3 1962,26485
Q2 1962,26506
Q1 1962,26450
Q4 1961,26301
Q3 1961,26374
Q2 1961,26312
Q1 1961,26345
Q4 1960,26246
Q3 1960,26060
Q2 1960,26015
Q1 1960,25905
Q4 1959,25751
Q3 1959,25660
Q2 1959,25555
