Response,Share of total sales
Non-store retailers [454],48.9%
Electronics and appliance stores [443],7.9%
Miscellaneous store retailers [453],6%
"Sporting goods, hobby, book and music stores [451]",4.7%
Clothing and clothing accessories stores [448],4.4%
Retail trade [44-45],3.4%
Furniture and home furnishings stores [442],2.1%
Health and personal care stores [446],1.4%
Building material and garden equipment and supplies dealers [444],1.3%
Food and beverage stores [445],0.5%
General merchandise stores [452],0.4%
Motor vehicle and parts dealers [441],0.4%
Gasoline stations [447],0%
