Country,Number of tests performed per million population
UK,839496
USA,788772
Russia,632335
Belgium,607185
Spain,595313
France,557031
Italy,449210
Sweden,445795
Germany,414689
Canada,374038
Czechia,362054
Netherlands,349865
Chile,345265
Turkey,298515
Romania,253945
Poland,195156
Peru,168086
Colombia,163269
Brazil,134060
Ukraine,129485
India,127950
Iraq,115749
South Africa,114389
China,111163
Argentina,110138
Iran,93270
Philippines,62183
Pakistan,31038
Mexico,28634
Indonesia,27553
Bangladesh,19856
