crime type,Number of prisoners
Property crime,30537
Crime against the person,23030
Drug-related crimes,18989
Weapons-related crimes,9504
Crime against public administration,8401
Mafia-type organized crime **,7262
Crime against the justice system,6353
Crime against public trust,4373
Violation,3894
Offence against the family,3685
Public-order crime,2747
Others,2341
Crime against public safety,1571
Law on foreigners***,1301
Offence against religions and deceased,1044
Crime against public economy,813
Prostitution,557
Crime against the State,137
Crime against public morals,90
