Month,Units sold
Dec 19,793
Nov 19,1109
Oct 19,776
Sep 19,2017
Aug 19,715
Jul 19,1005
Jun 19,1483
May 19,1722
Apr 19,1063
Mar 19,3612
Feb 19,691
Jan 19,1213
Dec 18,1722
Nov 18,1843
Oct 18,1933
Sep 18,3233
Aug 18,781
Jul 18,1513
Jun 18,1545
May 18,1400
Apr 18,1189
Mar 18,3929
Feb 18,513
Jan 18,1555
Dec 17,1227
Nov 17,1123
Oct 17,968
Sep 17,2387
Aug 17,436
Jul 17,1035
Jun 17,1361
May 17,1142
Apr 17,1309
Mar 17,3421
Feb 17,354
Jan 17,1329
Dec 16,1059
Nov 16,1289
Oct 16,1136
Sep 16,2656
Aug 16,367
Jul 16,1186
