Response,Share of respondents
I look forward to the festive period,60%
I am relieved when the festive period is over,41%
Christmas makes me worry about my financial situation,39%
I find the festive period relaxing,38%
The festive period is the most stressful time of the year,34%
The festive period makes me think about what I have not achieved this year,25%
I feel pressure to have the perfect Christmas,23%
I compare my Christmas to other people's on social media,15%
I feel unable to cope at Christmas,12%
I feel pressure to present my Christmas on social media,7%
