Response,Share of respondents
More exercise / improving fitness,47%
Losing weight,44%
Improving my diet,41%
Saving more money,31%
I have never made a New Year's Resolution,27%
Taking up a new hobby,18%
Cutting down on drinking alcohol,16%
Giving up smoking / vaping,14%
Decorating / renovating my home,11%
Pursuing a career ambition,11%
More time with my family,11%
Cutting down on social media usage,7%
Volunteering or charity work,6%
Cutting down on phone usage,4%
Other,4%
Don't know /can't recall,3%
