railway station,Number of passenger entries and exits
Waterloo,94192690
Victoria,74715808
Liverpool Street,69482532
London Bridge,61308364
Birmingham New Street,47927772
Euston,46146456
Stratford,41206226
Paddington,38181588
St.Pancras,35984204
King's Cross,34645924
Glasgow Central,32797088
Leeds,30838554
Highbury & Islington,30439574
Manchester Piccadilly,30251948
Charing Cross,30235856
Clapham Junction,29520132
East Croydon,24769874
Edinburgh,23872996
Canada Water,23725794
Vauxhall,21009688
Cannon Street,20614904
