State,Percent change compared to preceding period
Texas,4.4%
Utah,3.8%
Washington,3.8%
New Mexico,3.7%
Colorado,3.5%
Wyoming,3.3%
Arizona,3.1%
South Carolina,3%
Nevada,2.9%
Idaho,2.8%
Florida,2.8%
Rhode Island,2.7%
Oregon,2.7%
New Hampshire,2.7%
California,2.6%
Vermont,2.5%
Massachusetts,2.5%
Alaska,2.5%
Oklahoma,2.4%
Pennsylvania,2.3%
North Dakota,2.3%
Alabama,2.3%
North Carolina,2.3%
United States,2.3%
Tennessee,2.2%
Missouri,2.1%
Montana,2.1%
Georgia,2%
Virginia,1.9%
Maine,1.9%
Arkansas,1.8%
New York,1.8%
Ohio,1.7%
Illinois,1.6%
District of Columbia,1.6%
Connecticut,1.6%
New Jersey,1.5%
Maryland,1.5%
Wisconsin,1.4%
Minnesota,1.4%
Mississippi,1.3%
Louisiana,1.3%
Kentucky,1.1%
West Virginia,1%
Hawaii,1%
Kansas,0.9%
Iowa,0.9%
Delaware,0.8%
Indiana,0.8%
Michigan,0.7%
South Dakota,0.7%
Nebraska,0.6%
