Year,GDP per capita in U.S. dollars
2025*,5428.87
2024*,5122.04
2023*,4834.01
2022*,4557.23
2021*,4287.19
2020*,4038.4
2019,4196.67
2018,3947.13
2017,3885.47
2016,3605.72
2015,3367.69
2014,3533.61
2013,3684.0
2012,3744.53
2011,3688.53
2010,3178.13
2009,2464.96
2008,2418.04
2007,2064.23
2006,1764.79
2005,1403.88
2004,1280.7
2003,1186.85
2002,1002.91
2001,834.14
2000,870.15
1999,829.57
1998,572.09
1997,1308.11
1996,1394.5
1995,1254.02
1994,1115.61
1993,1013.06
1992,907.77
1991,847.57
1990,770.76
1989,696.87
1988,621.93
1987,562.9
1986,610.23
1985,658.22
