State,Average number of people infected
Wisconsin,0.88
Oregon,0.91
Michigan,0.92
Montana,0.93
Minnesota,0.94
Oklahoma,0.94
Nevada,0.94
Wyoming,0.95
South Dakota,0.97
Idaho,0.98
Alaska,0.98
Kentucky,0.99
Kansas,0.99
Rhode Island,1.01
Ohio,1.02
New Hampshire,1.03
Connecticut,1.03
Pennsylvania,1.03
Missouri,1.03
California,1.03
North Dakota,1.04
Texas,1.04
New Mexico,1.04
West Virginia,1.05
Hawaii,1.05
Mississippi,1.06
Nebraska,1.06
Delaware,1.07
D.C .,1.07
North Carolina,1.07
Tennessee,1.07
Virginia,1.08
Utah,1.08
Arkansas,1.09
Colorado,1.09
Vermont,1.1
Maryland,1.1
Louisiana,1.1
Alabama,1.11
Illinois,1.11
Arizona,1.11
Maine,1.12
Georgia,1.12
Indiana,1.12
Iowa,1.12
Massachusetts,1.13
Washington,1.13
New Jersey,1.14
South Carolina,1.15
Florida,1.16
New York,1.17
