metropolitan area,Unemployment rate
"Las Vegas-Henderson-Paradise, NV",11.5%
"New Orleans-Metairie, LA",9.8%
"Los Angeles-Long Beach-Anaheim, CA",9.6%
"New York-Newark-Jersey City, NY-NJ-PA",9.5%
"Houston-The Woodlands-Sugar Land, TX",8.9%
"Detroit-Warren-Dearborn, MI",8.9%
"Riverside-San Bernardino-Ontario, CA",7.9%
"Orlando-Kissimmee-Sanford, FL",7.7%
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",7.5%
"San Antonio-New Braunfels, TX",7.3%
"Phoenix-Mesa-Scottsdale, AZ",7.2%
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7.1%
"Dallas-Fort Worth-Arlington, TX",7.1%
"Miami-Fort Lauderdale-West Palm Beach, FL",7%
"Chicago-Naperville-Elgin, IL-IN-WI",7%
"Providence-Warwick, RI-MA Metropolitan NECTA",6.8%
"Sacramento--Roseville--Arden-Arcade, CA",6.7%
"Memphis, TN-MS-AR",6.7%
"San Diego-Carlsbad, CA",6.6%
"Denver-Aurora-Lakewood, CO",6.4%
"San Francisco-Oakland-Hayward, CA",6.1%
"Pittsburgh, PA",6.1%
"Baltimore-Columbia-Towson, MD",6.1%
"Austin-Round Rock, TX",5.9%
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",5.9%
"Buffalo-Cheektowaga-Niagara Falls, NY",5.9%
"Charlotte-Concord-Gastonia, NC-SC",5.9%
"Portland-Vancouver-Hillsboro, OR-WA",5.9%
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5.8%
"Cleveland-Elyria, OH",5.8%
"Tampa-St. Petersburg-Clearwater, FL",5.7%
"Rochester, NY",5.6%
"Atlanta-Sandy Springs-Roswell, GA",5.6%
"Oklahoma City, OK",5.5%
"Milwaukee-Waukesha-West Allis, WI",5.4%
"Raleigh, NC",5.3%
"Virginia Beach-Norfolk-Newport News, VA-NC",5.2%
"Jacksonville, FL",5.2%
"Seattle-Tacoma-Bellevue, WA",5.1%
"San Jose-Sunnyvale-Santa Clara, CA",5.1%
"Richmond, VA",5%
"Louisville/Jefferson County, KY-IN",5%
"Indianapolis-Carmel-Anderson, IN",4.9%
"Columbus, OH",4.9%
"Cincinnati, OH-KY-IN",4.8%
"Kansas City, MO-KS",4.6%
"St. Louis, MO-IL (1)",4.3%
"Salt Lake City, UT",4.2%
"Nashville-Davidson--Murfreesboro--Franklin, TN",4.2%
"Minneapolis-St. Paul-Bloomington, MN-WI",3.9%
"Birmingham-Hoover, AL",3.8%
