Response,Share of respondents
I can't afford to,66%
I'm counting on scholarships to pay for college,27%
We will rely on student loans,19%
I plan to start saving for college later,16%
It's so overwhelming that I don't know where to start,12%
It is more important to save for other things,9%
Other family members will pay for college,5%
"My parents didn't save for me, so I'm not going to save for my kids",5%
My kids are not going to go to college,4%
I already have enough saved to pay for college,4%
