Month,Number of unemployed people
Dec 22,160307
Dec 21,160058
Dec 20,157471
Dec 17,157018
Dec 16,156606
Dec 15,156854
Dec 14,157606
Dec 13,155487
Dec 10,155986
Dec 9,155853
Dec 8,155956
Dec 7,156696
Dec 6,154625
Dec 3,155555
Dec 1,160018
Nov 30,155997
Nov 29,153463
Nov 26,153844
Nov 23,155168
Nov 15,154381
Nov 12,155149
Nov 11,155149
Nov 9,156542
Nov 5,155254
Nov 3,156115
Nov 2,158532
Oct 29,154993
Oct 28,154865
Oct 25,154096
Oct 22,154749
Oct 21,154540
Oct 20,154864
Oct 15,155878
Oct 14,155916
Oct 13,156215
Oct 12,159967
Oct 8,155753
Oct 6,156401
Oct 5,157487
Oct 4,155005
Oct 1,160682
Sep 30,155535
Sep 28,155408
Sep 27,153278
Sep 24,153817
Sep 23,153920
Sep 22,154105
Sep 21,154942
Sep 17,153910
Sep 15,155551
Sep 13,155307
Sep 9,156863
Sep 8,157710
Sep 7,159344
Sep 6,157838
Sep 3,159614
Sep 2,160636
Sep 1,169731
Aug 31,167425
Aug 30,165065
Aug 27,165870
Aug 26,166897
Aug 24,168364
Aug 20,168152
Aug 18,171456
Aug 17,170043
Aug 13,171526
Aug 12,172143
Aug 11,172870
Aug 10,175275
Aug 9,175376
Aug 6,175376
Aug 5,176105
Aug 4,177149
Aug 3,181352
Aug 2,178296
Jul 31,180440
Jul 29,180390
Jul 28,180649
Jul 27,181422
Jul 26,180358
Jul 23,180542
Jul 22,180594
Jul 21,180732
Jul 20,181269
Jul 19,180036
Jul 13,181565
Jul 9,180823
Jul 7,181628
Jul 6,182831
Jul 5,181205
Jul 2,185913
Jul 1,179877
Jun 29,179553
Jun 28,177226
Jun 27,176896
Jun 24,176540
Jun 23,176113
Jun 22,176663
Jun 21,174757
Jun 20,174871
Jun 18,173589
Jun 17,173100
Jun 16,174238
Jun 14,172775
Jun 13,172775
Jun 12,173049
Jun 11,173510
Jun 10,173802
Jun 9,174265
Jun 8,175792
Jun 7,174657
Jun 6,174798
Jun 5,175204
Jun 4,176271
Jun 3,176985
Jun 2,179319
Jun 1,180048
May 31,177688
May 30,177665
May 28,178276
May 27,178498
May 26,178635
May 25,179489
May 24,178586
May 23,178723
May 22,178729
May 21,178715
May 20,179207
May 19,179442
May 18,180241
May 17,179229
May 16,179300
May 15,179799
May 14,179851
May 13,179955
May 12,180307
May 11,181056
May 10,179912
May 9,180025
May 7,180576
May 6,180771
May 5,181068
May 4,182107
May 3,180489
May 2,180553
May 1,182975
April 30,178637
April 28,177580
April 27,178138
April 26,176916
April 25,177067
April 24,177479
April 22,177708
April 21,177858
April 20,178618
April 19,177071
April 18,177227
April 17,177622
April 16,177782
April 15,177951
April 14,178646
April 13,176807
April 12,176500
April 11,176778
April 10,176819
April 9,176827
April 7,176527
April 6,176007
April 5,173781
April 4,173936
April 3,174307
April 2,174021
April 1,175846
March 31,169794
March 30,168796
March 29,164766
March 28,164547
March 27,164674
March 26,163504
March 25,162062
March 24,160630
March 23,158920
March 22,153452
March 21,152992
March 20,152991
March 19,150844
March 18,148095
March 17,144892
March 16,142804
March 15,136402
March 14,135425
March 13,134630
March 12,133218
March 11,131742
