Title,Units sold
"Astérix 38 : La fille de VercingétorixJean-Yves Ferri, Didier Conrad",1573700
La jeune fille et la nuitGuillaume Musso,565200
La vie secrète des écrivainsGuillaume Musso,391000
SérotonineMichel Houellebecq,384700
Tous les hommes n'habitent pas le monde de la même façonJean-Paul Dubois,367600
Changer l'eau des fleursValérie Perrin,363200
La panthère des neigesSylvain Tesson,351900
La tresseLaetitia Colombani,293400
Il est grand temps de rallumer les étoilesVirginie Grimaldi,279300
Ta deuxième vie commence quand tu comprends que... Raphaëlle Giordano,270200
